Subj,IP_Address,Inst_Time,Avg_Read_Time,Outcome,Agent,Vignette,Trial,Cause,Counterfactual,Trial_time,Age,Gender,Ethnicity,Education,SES
1,167.102.229.10,5.746,20.53116667,2,2,1,3,6,2,21.921,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,3,2,9,3,2,17.731,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,1,3,17,5,1,13.367,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,2,4,5,6,2,19.962,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,1,5,24,7,1,13.549,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,1,6,15,6,1,18.446,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,1,7,10,5,2,16.783,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,2,8,18,5,1,44.521,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,2,9,13,6,1,14.102,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,3,10,14,3,2,19.22,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,1,11,16,6,1,15.83,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,3,12,12,3,1,17.626,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,1,13,7,5,2,27.794,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,2,14,1,6,2,45.114,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,2,15,19,5,2,14.531,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,2,16,2,7,1,25.15,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,2,17,21,3,2,13.938,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,1,18,4,6,2,37.167,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,1,19,23,3,2,14.851,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,1,20,22,6,2,19.81,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,1,3,21,20,6,1,9.954,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,2,22,6,7,2,19.608,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,3,23,11,3,2,14.573,29,2,3,6,8
1,167.102.229.10,5.746,20.53116667,2,3,24,8,5,2,11.19,29,2,3,6,8
2,98.224.42.75,8.128,27.861,2,1,1,8,6,1,30.956,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,2,2,24,7,1,22.354,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,2,3,23,1,2,25.583,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,2,4,12,6,1,23.818,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,1,5,7,2,2,36.905,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,1,6,20,3,2,24.452,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,3,7,4,6,1,34.819,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,1,8,15,2,2,15.253,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,1,9,13,2,2,26.177,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,2,10,18,2,2,24.06,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,2,11,22,3,2,26.818,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,1,12,1,7,2,24.731,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,2,13,3,3,2,29.405,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,1,14,21,5,2,24.665,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,1,15,11,2,2,30.326,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,3,16,10,5,1,19.793,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,1,17,9,6,2,36.02,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,1,18,17,7,1,27.424,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,1,19,14,7,1,26.662,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,3,20,5,7,2,23.877,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,1,21,16,6,1,27.351,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,3,22,2,5,2,39.569,23,1,5,5,5
2,98.224.42.75,8.128,27.861,1,2,23,19,3,2,26.325,23,1,5,5,5
2,98.224.42.75,8.128,27.861,2,1,24,6,7,1,39.007,23,1,5,5,5
3,71.176.125.112,12.472,37.76491667,1,1,1,13,6,1,27.438,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,1,2,4,6,1,34.314,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,1,3,23,7,1,28.408,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,3,4,1,7,1,35.294,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,1,3,5,16,2,2,34.803,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,2,6,9,3,2,26.28,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,1,7,19,7,1,27.446,34,2,5,5,6
3,71.176.125.112,12.472,37.76491667,2,1,8,17,7,2,27.617,34,2,5,5,6
