"age","gender","ethnicity","education","SES"
29,2,3,6,8
23,1,5,5,5
34,2,5,5,6
20,2,6,9,6
36,2,5,5,4
61,2,5,4,4
37,1,5,5,8
49,1,2,5,8
58,1,5,4,7
60,2,5,2,8
37,2,5,5,8
29,2,5,4,8
37,2,5,5,5
28,2,5,4,6
26,1,5,4,8
62,2,5,5,5
34,2,5,5,6
1993,2,5,4,6
34,2,5,5,6
36,1,5,4,8
20,2,3,4,9
41,2,5,2,8
34,1,5,5,6
37,1,5,2,7
49,1,3,6,6
29,1,3,5,5
53,2,5,5,5
45,1,5,2,8
25,1,5,2,8
23,2,5,4,5
52,2,5,5,6
34,1,3,6,5
34,2,5,4,4
31,2,5,4,6
76,1,5,2,7
28,2,5,4,10
24,1,5,4,9
21,2,5,4,5
58,2,5,2,8
36,1,3,5,7
60,2,5,6,8
55,2,5,9,7
48,2,5,5,4
49,2,5,4,7
61,2,5,5,6
37,2,5,3,8
52,1,5,4,8
33,1,5,4,8
34,1,5,4,7
40,2,5,2,6
49,1,5,4,8
24,2,1,4,5
61,2,5,5,6
50,2,5,4,8
30,2,5,5,8
28,2,5,4,6
34,2,3,6,7
36,1,5,5,7
29,2,5,5,8
40,1,5,5,3
27,2,5,5,7
26,1,5,4,7
28,1,5,5,5
30,1,5,4,7
41,2,5,2,8
37,2,5,2,6
43,1,5,5,5
33,1,5,5,6
27,2,5,3,7
31,2,5,6,6
27,2,3,5,5
31,1,3,6,5
33,1,5,4,6
46,1,5,5,7
48,1,5,4,9
30,1,5,5,5
29,2,5,4,6
23,1,3,5,4
30,1,5,4,9
26,2,3,5,6
26,1,5,2,10
30,1,3,3,7
27,2,1,5,NA
24,1,5,5,7
23,1,3,6,6
35,1,6,5,6
31,1,3,5,5
31,1,3,5,6
23,1,5,2,8
62,1,3,5,7
28,1,3,5,5
26,1,3,6,6
