"ResponseID","age","gender","ethn","edu","ses"
"R_1KkatO9YkIOMCXZ",26,1,1,5,3
"R_1MPTbU4h7AUdxiQ",24,1,2,4,7
"R_1Cm9WqsUy3ewOoz",29,1,5,5,6
"R_1Fgocn1Zr6ATTQd",23,1,2,4,8
"R_SN4YncwRkH6x6fv",22,1,5,5,6
"R_1BpSpKraFRpBuo1",32,1,5,5,5
"R_1Cl79AlJsF5JlTv",24,1,2,2,8
"R_2rU6tY2HPVNJ4k2",31,2,5,4,3
"R_R96FH4WvwgBPUWJ",25,1,5,6,1
"R_30bMLhrzwuf8hDW",25,1,5,6,5
"R_3JEPJYVf3feN6U8",37,2,5,2,8
"R_1JQiv3n8hdPqmva",33,1,5,5,8
"R_1mhpdoXlUoTSlng",31,2,5,5,7
"R_1igLN6Uz25FRmMo",32,2,5,6,3
"R_238J7vQrlfmRiRd",36,1,2,5,5
"R_C3qFWTwnjADKn97",29,1,4,5,4
"R_YPsoNwGV6Dl0RoZ",23,1,5,5,3
"R_bdfC9q2h4cUSG7D",39,1,5,4,8
"R_3FVtfuYCCrbPXz4",36,2,5,4,8
"R_2YVRj8sLhbX1NcE",25,2,5,4,8
"R_27vVjlSy4RN0Nup",37,2,5,6,5
"R_2qE69rJQUPayeVO",24,2,5,5,8
"R_3n5Vug9QL5HAC3b",28,1,5,3,6
"R_2cz1GV9qXedxZrL",34,1,5,6,5
"R_2VIK9LkLq80qU45",24,1,5,4,6
"R_33p8Os9zPAbudXM",25,2,2,4,7
"R_2YgnMGLHZhu0Dmx",40,2,5,5,5
"R_AoDXTviY3Erf1GF",47,1,5,5,5
"R_23ers3FDYVMzmFs",45,2,5,2,6
"R_XL1YER4lwhGYiAN",42,2,5,3,5
"R_b103bVqpzg33Gud",40,1,3,5,5
"R_2trQebVqxipEBgM",33,1,2,5,6
"R_3rZqkiECb3Mavwk",29,2,1,5,7
"R_3q7IHilrFhljn2v",21,1,1,4,7
"R_1od2vQEJhGcUKly",33,1,5,7,9
"R_3fdAmueL3IsZ8uW",29,1,5,4,8
"R_2VsCqw3FIz5o3Al",22,2,5,4,5
"R_2fwIg7U4vj6KRrd",26,1,5,3,6
"R_3gMH9WoxolviqmG",43,2,2,3,6
"R_2qa7Vxo6680MLkD",33,1,1,2,7
"R_3MPzJbnMbd6dhor",34,2,5,5,9
"R_1FbwoF24Wy7qq0N",24,1,5,5,3
"R_3JLdTdlts3cEGI4",57,2,5,4,7
"R_BsS03oicPwKGWWd",37,2,5,2,10
"R_ZHMJuazIqR7kztf",31,2,5,6,5
"R_3NCApJU8jmiZfq3",44,2,5,4,9
"R_Y90HVw1fo5mzuI9",30,1,5,4,10
"R_1Is0zxfxpBavcfg",33,1,5,6,5
"R_1j7XzjBVRcoRtHn",24,2,5,4,7
"R_V4Jji5fCNvSiNqh",29,2,1,4,8
"R_cucztTS6SQJQzE9",25,1,5,5,5
"R_2PiA2mdmjJwfm5W",31,1,6,4,8
"R_V2rppO29GsLg21r",29,1,5,2,5
"R_2fwDvw1zc9TuRUb",29,1,5,4,7
"R_3qIs9ZpLEsg14EY",58,1,5,6,6
"R_2zDgQveU5X6GuCe",39,1,1,2,7
"R_3kv40mVDfx03kUJ",44,1,5,5,6
"R_3EcnMdPHqaRyRzP",53,1,5,4,5
"R_2WwiBj6uAMQwmwx",46,2,5,4,5
"R_3LY0Ak3f1QPTv1f",48,2,6,4,9
"R_1i51AQq0q0cYPtC",31,1,5,5,6
"R_1Cwl8Y5WRrtF9mB",27,1,5,4,5
"R_3NKCULsugDPmX3X",33,1,5,5,6
"R_3PdGpjUTEmu2lY4",42,1,5,4,6
"R_2AGMj0voqPK07Wn",31,1,5,5,7
"R_2tcIanlP5cXiaAh",37,1,5,3,5
"R_30esbJhioURLJAR",43,2,5,4,6
"R_2Pb9Jq0AGWlgQT4",32,1,5,5,5
"R_3qW4adEmf6UPbsx",27,2,5,5,5
"R_1gcJxiu3PzanS0Y",32,2,5,4,8
"R_1kXCGLWGbbyIBmu",43,1,5,5,9
"R_2bVPk7edWWb0zK6",50,2,5,5,5
"R_PuoxCpM6DMhrGrD",29,1,5,5,9
"R_3NUHf7OOyhOrbFO",26,2,1,5,9
"R_3L14kPw5Ijtpx1H",23,1,5,5,6
"R_33s8IpI9xH7drf3",54,2,5,5,8
"R_27Jwu6oOYL44Wlq",24,2,5,2,7
"R_aabHDolwx2Sl4Y1",37,1,5,6,5
"R_D5GjWij04cStYyJ",34,1,5,6,5
"R_2Cp29OopH6dCCpd",37,1,5,6,5
"R_1Qrr69QjPvUmkL2",41,1,3,5,6
"R_12MeLkgcB5rEdia",69,1,5,6,3
"R_3Jf7hXi5BMtjkw5",29,1,3,5,6
"R_31R8RpRulLBMNcN",26,1,5,5,5
"R_29snptV39K2a5gE",27,2,5,2,8
"R_Pze2WVuUjd1qRl7",23,1,6,4,7
"R_3ssIkix3xn5qymb",26,2,5,5,5
"R_3phZMoNpMhjazqD",56,2,5,5,6
"R_OJ6HyXy1enVCIO5",53,1,5,5,7
"R_3mfWQtvc50XsrLT",36,1,5,4,9
"R_2X5v5ui6cN94Jxj",57,2,5,5,9
"R_1Hq9sKQNmtkpbEv",43,1,5,8,8
"R_3ENkpLyr3BQrDS3",28,1,5,5,8
"R_3nwNbJQTzx75QWZ",38,2,5,5,4
"R_24je6TkxySN8SkA",33,1,5,2,8
"R_31z46YHdZamMBK6",30,2,5,4,7
"R_zSiHHN0ShLaT009",24,1,5,5,5
"R_2dFKdyzOZMOP6gQ",52,1,5,1,8
"R_r7P8kOHzU4gb02J",54,1,5,4,8
"R_psKB2f7OvlluU3T",33,2,1,5,8
"R_1NyvyDru9XKE2MM",48,1,5,4,7
"R_tVvZSfNOVDSw5z3",32,2,5,4,5
"R_zVehZZ7SyxKBWud",50,2,5,2,10
"R_30qxMhClxxxAKKd",32,1,5,6,9
"R_1OuXNGsZVDRekxE",55,2,1,5,5
"R_3kHsssnpgo4psqE",36,NA,5,5,5
"R_2SAeR2A0LgZxPNd",53,1,5,2,8
"R_1mLciMvnT71vD4y",54,2,2,4,9
"R_1ifBGFFVsyEFvk7",54,1,5,4,6
