"ResponseId","condCod","causation response","norm","knowledge","outcome","scenario","condition"
"R_SNSaRsNd36GZBap","caus1.RKG","4","Rationality","Knowledge","Normal",1,"RKG"
"R_SNSaRsNd36GZBap","caus2.MIB","5","Morality","Ignorance","Abnormal",2,"MIB"
"R_SNSaRsNd36GZBap","caus3.RKG","3","Rationality","Knowledge","Normal",3,"RKG"
"R_SNSaRsNd36GZBap","caus4.RKB","6","Rationality","Knowledge","Abnormal",4,"RKB"
"R_SNSaRsNd36GZBap","caus5.RKG","3","Rationality","Knowledge","Normal",5,"RKG"
"R_SNSaRsNd36GZBap","caus6.RKG","3","Rationality","Knowledge","Normal",6,"RKG"
"R_SNSaRsNd36GZBap","caus7.MKB","3","Morality","Knowledge","Abnormal",7,"MKB"
"R_SNSaRsNd36GZBap","caus8.RIG","6","Rationality","Ignorance","Normal",8,"RIG"
"R_SNSaRsNd36GZBap","caus9.MKB","3","Morality","Knowledge","Abnormal",9,"MKB"
"R_SNSaRsNd36GZBap","caus10.MKG","5","Morality","Knowledge","Normal",10,"MKG"
"R_SNSaRsNd36GZBap","caus11.MIB","3","Morality","Ignorance","Abnormal",11,"MIB"
"R_SNSaRsNd36GZBap","caus12.MIG","3","Morality","Ignorance","Normal",12,"MIG"
"R_SNSaRsNd36GZBap","caus13.RKB","5","Rationality","Knowledge","Abnormal",13,"RKB"
"R_SNSaRsNd36GZBap","caus14.MIB","6","Morality","Ignorance","Abnormal",14,"MIB"
"R_SNSaRsNd36GZBap","caus15.MKG","5","Morality","Knowledge","Normal",15,"MKG"
"R_SNSaRsNd36GZBap","caus16.RIG","5","Rationality","Ignorance","Normal",16,"RIG"
"R_3ix9OZp19n7z3ji","caus1.RKB","4","Rationality","Knowledge","Abnormal",1,"RKB"
"R_3ix9OZp19n7z3ji","caus2.RIB","3","Rationality","Ignorance","Abnormal",2,"RIB"
"R_3ix9OZp19n7z3ji","caus3.RIG","5","Rationality","Ignorance","Normal",3,"RIG"
"R_3ix9OZp19n7z3ji","caus4.MKG","4","Morality","Knowledge","Normal",4,"MKG"
"R_3ix9OZp19n7z3ji","caus5.MIG","3","Morality","Ignorance","Normal",5,"MIG"
"R_3ix9OZp19n7z3ji","caus6.MIB","6","Morality","Ignorance","Abnormal",6,"MIB"
"R_3ix9OZp19n7z3ji","caus7.MKB","4","Morality","Knowledge","Abnormal",7,"MKB"
"R_3ix9OZp19n7z3ji","caus8.RIG","2","Rationality","Ignorance","Normal",8,"RIG"
"R_3ix9OZp19n7z3ji","caus9.RIB","3","Rationality","Ignorance","Abnormal",9,"RIB"
"R_3ix9OZp19n7z3ji","caus10.RKB","4","Rationality","Knowledge","Abnormal",10,"RKB"
"R_3ix9OZp19n7z3ji","caus11.RKB","7","Rationality","Knowledge","Abnormal",11,"RKB"
"R_3ix9OZp19n7z3ji","caus12.RIB","4","Rationality","Ignorance","Abnormal",12,"RIB"
"R_3ix9OZp19n7z3ji","caus13.RKB","4","Rationality","Knowledge","Abnormal",13,"RKB"
"R_3ix9OZp19n7z3ji","caus14.MKG","4","Morality","Knowledge","Normal",14,"MKG"
"R_3ix9OZp19n7z3ji","caus15.RKB","4","Rationality","Knowledge","Abnormal",15,"RKB"
"R_3ix9OZp19n7z3ji","caus16.RIB","5","Rationality","Ignorance","Abnormal",16,"RIB"
"R_2fBaz1njeTCwFDg","caus1.MKB","5","Morality","Knowledge","Abnormal",1,"MKB"
"R_2fBaz1njeTCwFDg","caus2.RIG","5","Rationality","Ignorance","Normal",2,"RIG"
"R_2fBaz1njeTCwFDg","caus3.RIG","5","Rationality","Ignorance","Normal",3,"RIG"
"R_2fBaz1njeTCwFDg","caus4.MKB","5","Morality","Knowledge","Abnormal",4,"MKB"
"R_2fBaz1njeTCwFDg","caus5.RIB","5","Rationality","Ignorance","Abnormal",5,"RIB"
"R_2fBaz1njeTCwFDg","caus6.RKB","5","Rationality","Knowledge","Abnormal",6,"RKB"
"R_2fBaz1njeTCwFDg","caus7.MKB","5","Morality","Knowledge","Abnormal",7,"MKB"
"R_2fBaz1njeTCwFDg","caus8.RKB","4","Rationality","Knowledge","Abnormal",8,"RKB"
"R_2fBaz1njeTCwFDg","caus9.MIB","6","Morality","Ignorance","Abnormal",9,"MIB"
"R_2fBaz1njeTCwFDg","caus10.RIB","3","Rationality","Ignorance","Abnormal",10,"RIB"
"R_2fBaz1njeTCwFDg","caus11.MKG","5","Morality","Knowledge","Normal",11,"MKG"
"R_2fBaz1njeTCwFDg","caus12.RIG","6","Rationality","Ignorance","Normal",12,"RIG"
"R_2fBaz1njeTCwFDg","caus13.MIB","5","Morality","Ignorance","Abnormal",13,"MIB"
"R_2fBaz1njeTCwFDg","caus14.MKG","3","Morality","Knowledge","Normal",14,"MKG"
"R_2fBaz1njeTCwFDg","caus15.RIG","3","Rationality","Ignorance","Normal",15,"RIG"
"R_2fBaz1njeTCwFDg","caus16.RIG","6","Rationality","Ignorance","Normal",16,"RIG"
"R_33ydZUGqQjKMVgR","caus1.MIG","2","Morality","Ignorance","Normal",1,"MIG"
"R_33ydZUGqQjKMVgR","caus2.MIG","1","Morality","Ignorance","Normal",2,"MIG"
"R_33ydZUGqQjKMVgR","caus3.MKG","1","Morality","Knowledge","Normal",3,"MKG"
"R_33ydZUGqQjKMVgR","caus4.RIB","2","Rationality","Ignorance","Abnormal",4,"RIB"
"R_33ydZUGqQjKMVgR","caus5.RKG","7","Rationality","Knowledge","Normal",5,"RKG"
"R_33ydZUGqQjKMVgR","caus6.MKG","3","Morality","Knowledge","Normal",6,"MKG"
"R_33ydZUGqQjKMVgR","caus7.RKB","4","Rationality","Knowledge","Abnormal",7,"RKB"
"R_33ydZUGqQjKMVgR","caus8.MIB","1","Morality","Ignorance","Abnormal",8,"MIB"
"R_33ydZUGqQjKMVgR","caus9.MKG","4","Morality","Knowledge","Normal",9,"MKG"
"R_33ydZUGqQjKMVgR","caus10.MIB","2","Morality","Ignorance","Abnormal",10,"MIB"
"R_33ydZUGqQjKMVgR","caus11.MIG","4","Morality","Ignorance","Normal",11,"MIG"
"R_33ydZUGqQjKMVgR","caus12.MKB","4","Morality","Knowledge","Abnormal",12,"MKB"
"R_33ydZUGqQjKMVgR","caus13.RKB","5","Rationality","Knowledge","Abnormal",13,"RKB"
"R_33ydZUGqQjKMVgR","caus14.RIB","6","Rationality","Ignorance","Abnormal",14,"RIB"
"R_33ydZUGqQjKMVgR","caus15.MKG","2","Morality","Knowledge","Normal",15,"MKG"
"R_33ydZUGqQjKMVgR","caus16.RKB","3","Rationality","Knowledge","Abnormal",16,"RKB"
"R_29s869TqKRtXUjX","caus1.MIG","7","Morality","Ignorance","Normal",1,"MIG"
"R_29s869TqKRtXUjX","caus2.RKB","7","Rationality","Knowledge","Abnormal",2,"RKB"
"R_29s869TqKRtXUjX","caus3.MKG","6","Morality","Knowledge","Normal",3,"MKG"
"R_29s869TqKRtXUjX","caus4.RIG","6","Rationality","Ignorance","Normal",4,"RIG"
"R_29s869TqKRtXUjX","caus5.RIG","6","Rationality","Ignorance","Normal",5,"RIG"
"R_29s869TqKRtXUjX","caus6.MIG","7","Morality","Ignorance","Normal",6,"MIG"
"R_29s869TqKRtXUjX","caus7.MIG.1","6","Morality","Ignorance","Normal",7,"MIG"
"R_29s869TqKRtXUjX","caus8.MIB","6","Morality","Ignorance","Abnormal",8,"MIB"
"R_29s869TqKRtXUjX","caus9.MIG","7","Morality","Ignorance","Normal",9,"MIG"
"R_29s869TqKRtXUjX","caus10.MIG","5","Morality","Ignorance","Normal",10,"MIG"
"R_29s869TqKRtXUjX","caus11.MKB","6","Morality","Knowledge","Abnormal",11,"MKB"
"R_29s869TqKRtXUjX","caus12.MIG","6","Morality","Ignorance","Normal",12,"MIG"
"R_29s869TqKRtXUjX","caus13.RIG","7","Rationality","Ignorance","Normal",13,"RIG"
"R_29s869TqKRtXUjX","caus14.RKG","7","Rationality","Knowledge","Normal",14,"RKG"
"R_29s869TqKRtXUjX","caus15.MIG","7","Morality","Ignorance","Normal",15,"MIG"
"R_29s869TqKRtXUjX","caus16.MIG","7","Morality","Ignorance","Normal",16,"MIG"
"R_1FgpxZrcDBC7KiF","caus1.MIG","5","Morality","Ignorance","Normal",1,"MIG"
"R_1FgpxZrcDBC7KiF","caus2.MKG","6","Morality","Knowledge","Normal",2,"MKG"
"R_1FgpxZrcDBC7KiF","caus3.RIB","5","Rationality","Ignorance","Abnormal",3,"RIB"
"R_1FgpxZrcDBC7KiF","caus4.RIG","4","Rationality","Ignorance","Normal",4,"RIG"
"R_1FgpxZrcDBC7KiF","caus5.MKB","6","Morality","Knowledge","Abnormal",5,"MKB"
"R_1FgpxZrcDBC7KiF","caus6.RKB","5","Rationality","Knowledge","Abnormal",6,"RKB"
"R_1FgpxZrcDBC7KiF","caus7.MKB","5","Morality","Knowledge","Abnormal",7,"MKB"
"R_1FgpxZrcDBC7KiF","caus8.RKG","5","Rationality","Knowledge","Normal",8,"RKG"
"R_1FgpxZrcDBC7KiF","caus9.RKG","5","Rationality","Knowledge","Normal",9,"RKG"
"R_1FgpxZrcDBC7KiF","caus10.RKB","6","Rationality","Knowledge","Abnormal",10,"RKB"
"R_1FgpxZrcDBC7KiF","caus11.MKB","4","Morality","Knowledge","Abnormal",11,"MKB"
"R_1FgpxZrcDBC7KiF","caus12.MKG","4","Morality","Knowledge","Normal",12,"MKG"
"R_1FgpxZrcDBC7KiF","caus13.MIB","6","Morality","Ignorance","Abnormal",13,"MIB"
