"ResponseId","condCod","responses","question","norm","knowledge","outcome","scenario","condition"
"R_PY5z2hVgeeyAtJT","vale1.MKB","5","Valence","Morality","Knowledge","Abnormal",1,"MKB"
"R_PY5z2hVgeeyAtJT","norm1.MKB","4","Normality","Morality","Knowledge","Abnormal",1,"MKB"
"R_PY5z2hVgeeyAtJT","vale2.MIB","4","Valence","Morality","Ignorance","Abnormal",2,"MIB"
"R_PY5z2hVgeeyAtJT","norm2.MIB","4","Normality","Morality","Ignorance","Abnormal",2,"MIB"
"R_PY5z2hVgeeyAtJT","vale3.MKG","4","Valence","Morality","Knowledge","Normal",3,"MKG"
"R_PY5z2hVgeeyAtJT","norm3.MKG","4","Normality","Morality","Knowledge","Normal",3,"MKG"
"R_PY5z2hVgeeyAtJT","vale4.RIB","5","Valence","Rationality","Ignorance","Abnormal",4,"RIB"
"R_PY5z2hVgeeyAtJT","norm4.RIB","4","Normality","Rationality","Ignorance","Abnormal",4,"RIB"
"R_PY5z2hVgeeyAtJT","vale5.RKG","4","Valence","Rationality","Knowledge","Normal",5,"RKG"
"R_PY5z2hVgeeyAtJT","norm5.RKG","5","Normality","Rationality","Knowledge","Normal",5,"RKG"
"R_PY5z2hVgeeyAtJT","vale6.MIB","4","Valence","Morality","Ignorance","Abnormal",6,"MIB"
"R_PY5z2hVgeeyAtJT","norm6.MIB","4","Normality","Morality","Ignorance","Abnormal",6,"MIB"
"R_PY5z2hVgeeyAtJT","vale7.RIB","4","Valence","Rationality","Ignorance","Abnormal",7,"RIB"
"R_PY5z2hVgeeyAtJT","norm7.RIB","5","Normality","Rationality","Ignorance","Abnormal",7,"RIB"
"R_PY5z2hVgeeyAtJT","vale8.RKB","5","Valence","Rationality","Knowledge","Abnormal",8,"RKB"
"R_PY5z2hVgeeyAtJT","norm8.RKB","4","Normality","Rationality","Knowledge","Abnormal",8,"RKB"
"R_PY5z2hVgeeyAtJT","vale9.MKG","5","Valence","Morality","Knowledge","Normal",9,"MKG"
"R_PY5z2hVgeeyAtJT","norm9.MKG","4","Normality","Morality","Knowledge","Normal",9,"MKG"
"R_PY5z2hVgeeyAtJT","vale10.RIB","4","Valence","Rationality","Ignorance","Abnormal",10,"RIB"
"R_PY5z2hVgeeyAtJT","norm10.RIB","3","Normality","Rationality","Ignorance","Abnormal",10,"RIB"
"R_PY5z2hVgeeyAtJT","vale11.RIB","5","Valence","Rationality","Ignorance","Abnormal",11,"RIB"
"R_PY5z2hVgeeyAtJT","norm11.RIB","5","Normality","Rationality","Ignorance","Abnormal",11,"RIB"
"R_PY5z2hVgeeyAtJT","vale12.RKG","5","Valence","Rationality","Knowledge","Normal",12,"RKG"
"R_PY5z2hVgeeyAtJT","norm12.RKG","4","Normality","Rationality","Knowledge","Normal",12,"RKG"
"R_PY5z2hVgeeyAtJT","vale13.RKG","4","Valence","Rationality","Knowledge","Normal",13,"RKG"
"R_PY5z2hVgeeyAtJT","norm13.RKG","6","Normality","Rationality","Knowledge","Normal",13,"RKG"
"R_PY5z2hVgeeyAtJT","vale14.RKG","4","Valence","Rationality","Knowledge","Normal",14,"RKG"
"R_PY5z2hVgeeyAtJT","norm14.RKG","5","Normality","Rationality","Knowledge","Normal",14,"RKG"
"R_PY5z2hVgeeyAtJT","vale15.RKG","5","Valence","Rationality","Knowledge","Normal",15,"RKG"
"R_PY5z2hVgeeyAtJT","norm15.RKG","4","Normality","Rationality","Knowledge","Normal",15,"RKG"
"R_PY5z2hVgeeyAtJT","vale16.RIB","4","Valence","Rationality","Ignorance","Abnormal",16,"RIB"
"R_PY5z2hVgeeyAtJT","norm16.RIB","4","Normality","Rationality","Ignorance","Abnormal",16,"RIB"
"R_3nuuyrjLVB1W97t","vale1.RIG","4","Valence","Rationality","Ignorance","Normal",1,"RIG"
"R_3nuuyrjLVB1W97t","norm1.RIG","4","Normality","Rationality","Ignorance","Normal",1,"RIG"
"R_3nuuyrjLVB1W97t","vale2.MKG","2","Valence","Morality","Knowledge","Normal",2,"MKG"
"R_3nuuyrjLVB1W97t","norm2.MKG","4","Normality","Morality","Knowledge","Normal",2,"MKG"
"R_3nuuyrjLVB1W97t","vale3.RIG","4","Valence","Rationality","Ignorance","Normal",3,"RIG"
"R_3nuuyrjLVB1W97t","norm3.RIG","4","Normality","Rationality","Ignorance","Normal",3,"RIG"
"R_3nuuyrjLVB1W97t","vale4.MKB","4","Valence","Morality","Knowledge","Abnormal",4,"MKB"
"R_3nuuyrjLVB1W97t","norm4.MKB","4","Normality","Morality","Knowledge","Abnormal",4,"MKB"
"R_3nuuyrjLVB1W97t","vale5.RIG","3","Valence","Rationality","Ignorance","Normal",5,"RIG"
"R_3nuuyrjLVB1W97t","norm5.RIG","3","Normality","Rationality","Ignorance","Normal",5,"RIG"
"R_3nuuyrjLVB1W97t","vale6.MKB","4","Valence","Morality","Knowledge","Abnormal",6,"MKB"
"R_3nuuyrjLVB1W97t","norm6.MKB","4","Normality","Morality","Knowledge","Abnormal",6,"MKB"
"R_3nuuyrjLVB1W97t","vale7.MKB","1","Valence","Morality","Knowledge","Abnormal",7,"MKB"
"R_3nuuyrjLVB1W97t","norm7.MKB","1","Normality","Morality","Knowledge","Abnormal",7,"MKB"
"R_3nuuyrjLVB1W97t","vale8.MIG","3","Valence","Morality","Ignorance","Normal",8,"MIG"
"R_3nuuyrjLVB1W97t","norm8.MIG","3","Normality","Morality","Ignorance","Normal",8,"MIG"
"R_3nuuyrjLVB1W97t","vale9.RIB","3","Valence","Rationality","Ignorance","Abnormal",9,"RIB"
"R_3nuuyrjLVB1W97t","norm9.RIB","3","Normality","Rationality","Ignorance","Abnormal",9,"RIB"
"R_3nuuyrjLVB1W97t","vale10.MKB","3","Valence","Morality","Knowledge","Abnormal",10,"MKB"
"R_3nuuyrjLVB1W97t","norm10.MKB","4","Normality","Morality","Knowledge","Abnormal",10,"MKB"
"R_3nuuyrjLVB1W97t","vale11.RIB","4","Valence","Rationality","Ignorance","Abnormal",11,"RIB"
"R_3nuuyrjLVB1W97t","norm11.RIB","4","Normality","Rationality","Ignorance","Abnormal",11,"RIB"
"R_3nuuyrjLVB1W97t","vale12.MKG","4","Valence","Morality","Knowledge","Normal",12,"MKG"
"R_3nuuyrjLVB1W97t","norm12.MKG","4","Normality","Morality","Knowledge","Normal",12,"MKG"
"R_3nuuyrjLVB1W97t","vale13.MIB","3","Valence","Morality","Ignorance","Abnormal",13,"MIB"
"R_3nuuyrjLVB1W97t","norm13.MIB","4","Normality","Morality","Ignorance","Abnormal",13,"MIB"
"R_3nuuyrjLVB1W97t","vale14.RKB","4","Valence","Rationality","Knowledge","Abnormal",14,"RKB"
"R_3nuuyrjLVB1W97t","norm14.RKB","3","Normality","Rationality","Knowledge","Abnormal",14,"RKB"
"R_3nuuyrjLVB1W97t","vale15.RIB","4","Valence","Rationality","Ignorance","Abnormal",15,"RIB"
"R_3nuuyrjLVB1W97t","norm15.RIB","4","Normality","Rationality","Ignorance","Abnormal",15,"RIB"
"R_3nuuyrjLVB1W97t","vale16.MKG","4","Valence","Morality","Knowledge","Normal",16,"MKG"
"R_3nuuyrjLVB1W97t","norm16.MKG","4","Normality","Morality","Knowledge","Normal",16,"MKG"
"R_1ePLNvR7OVcnMQI","vale1.RKB","5","Valence","Rationality","Knowledge","Abnormal",1,"RKB"
"R_1ePLNvR7OVcnMQI","norm1.RKB","3","Normality","Rationality","Knowledge","Abnormal",1,"RKB"
"R_1ePLNvR7OVcnMQI","vale2.MIG","5","Valence","Morality","Ignorance","Normal",2,"MIG"
"R_1ePLNvR7OVcnMQI","norm2.MIG","6","Normality","Morality","Ignorance","Normal",2,"MIG"
"R_1ePLNvR7OVcnMQI","vale3.MKG","6","Valence","Morality","Knowledge","Normal",3,"MKG"
"R_1ePLNvR7OVcnMQI","norm3.MKG","3","Normality","Morality","Knowledge","Normal",3,"MKG"
"R_1ePLNvR7OVcnMQI","vale4.MKG","6","Valence","Morality","Knowledge","Normal",4,"MKG"
"R_1ePLNvR7OVcnMQI","norm4.MKG","3","Normality","Morality","Knowledge","Normal",4,"MKG"
"R_1ePLNvR7OVcnMQI","vale5.MIG","6","Valence","Morality","Ignorance","Normal",5,"MIG"
"R_1ePLNvR7OVcnMQI","norm5.MIG","3","Normality","Morality","Ignorance","Normal",5,"MIG"
"R_1ePLNvR7OVcnMQI","vale6.RKG","5","Valence","Rationality","Knowledge","Normal",6,"RKG"
"R_1ePLNvR7OVcnMQI","norm6.RKG","2","Normality","Rationality","Knowledge","Normal",6,"RKG"
"R_1ePLNvR7OVcnMQI","vale7.RKG","5","Valence","Rationality","Knowledge","Normal",7,"RKG"
"R_1ePLNvR7OVcnMQI","norm7.RKG.1","3","Normality","Rationality","Knowledge","Normal",7,"RKG"
"R_1ePLNvR7OVcnMQI","vale8.RKG","6","Valence","Rationality","Knowledge","Normal",8,"RKG"
"R_1ePLNvR7OVcnMQI","norm8.RKG","2","Normality","Rationality","Knowledge","Normal",8,"RKG"
"R_1ePLNvR7OVcnMQI","vale9.RIG","6","Valence","Rationality","Ignorance","Normal",9,"RIG"
"R_1ePLNvR7OVcnMQI","norm9.RIG","3","Normality","Rationality","Ignorance","Normal",9,"RIG"
"R_1ePLNvR7OVcnMQI","vale10.MKG","5","Valence","Morality","Knowledge","Normal",10,"MKG"
"R_1ePLNvR7OVcnMQI","norm10.MKG","2","Normality","Morality","Knowledge","Normal",10,"MKG"
"R_1ePLNvR7OVcnMQI","vale11.MIG","5","Valence","Morality","Ignorance","Normal",11,"MIG"
"R_1ePLNvR7OVcnMQI","norm11.MIG","3","Normality","Morality","Ignorance","Normal",11,"MIG"
"R_1ePLNvR7OVcnMQI","vale12.MKB","5","Valence","Morality","Knowledge","Abnormal",12,"MKB"
"R_1ePLNvR7OVcnMQI","norm12.MKB","3","Normality","Morality","Knowledge","Abnormal",12,"MKB"
"R_1ePLNvR7OVcnMQI","vale13.RIG","5","Valence","Rationality","Ignorance","Normal",13,"RIG"
"R_1ePLNvR7OVcnMQI","norm13.RIG","3","Normality","Rationality","Ignorance","Normal",13,"RIG"
"R_1ePLNvR7OVcnMQI","vale14.RKB","3","Valence","Rationality","Knowledge","Abnormal",14,"RKB"
"R_1ePLNvR7OVcnMQI","norm14.RKB","6","Normality","Rationality","Knowledge","Abnormal",14,"RKB"
"R_1ePLNvR7OVcnMQI","vale15.MIB","6","Valence","Morality","Ignorance","Abnormal",15,"MIB"
"R_1ePLNvR7OVcnMQI","norm15.MIB","3","Normality","Morality","Ignorance","Abnormal",15,"MIB"
"R_1ePLNvR7OVcnMQI","vale16.MKB","5","Valence","Morality","Knowledge","Abnormal",16,"MKB"
"R_1ePLNvR7OVcnMQI","norm16.MKB","6","Normality","Morality","Knowledge","Abnormal",16,"MKB"
"R_0MR6imycpxMoiUp","vale1.RKG","6","Valence","Rationality","Knowledge","Normal",1,"RKG"
"R_0MR6imycpxMoiUp","norm1.RKG","2","Normality","Rationality","Knowledge","Normal",1,"RKG"
"R_0MR6imycpxMoiUp","vale2.RKB","3","Valence","Rationality","Knowledge","Abnormal",2,"RKB"
"R_0MR6imycpxMoiUp","norm2.RKB","5","Normality","Rationality","Knowledge","Abnormal",2,"RKB"
"R_0MR6imycpxMoiUp","vale3.RIG","6","Valence","Rationality","Ignorance","Normal",3,"RIG"
"R_0MR6imycpxMoiUp","norm3.RIG","2","Normality","Rationality","Ignorance","Normal",3,"RIG"
"R_0MR6imycpxMoiUp","vale4.MIB","6","Valence","Morality","Ignorance","Abnormal",4,"MIB"
"R_0MR6imycpxMoiUp","norm4.MIB","4","Normality","Morality","Ignorance","Abnormal",4,"MIB"
"R_0MR6imycpxMoiUp","vale5.RKB","3","Valence","Rationality","Knowledge","Abnormal",5,"RKB"
"R_0MR6imycpxMoiUp","norm5.RKB","5","Normality","Rationality","Knowledge","Abnormal",5,"RKB"
"R_0MR6imycpxMoiUp","vale6.MKB","6","Valence","Morality","Knowledge","Abnormal",6,"MKB"
"R_0MR6imycpxMoiUp","norm6.MKB","3","Normality","Morality","Knowledge","Abnormal",6,"MKB"
"R_0MR6imycpxMoiUp","vale7.MIG.1","5","Valence","Morality","Ignorance","Normal",7,"MIG"
"R_0MR6imycpxMoiUp","norm7.MIG.1","2","Normality","Morality","Ignorance","Normal",7,"MIG"
"R_0MR6imycpxMoiUp","vale8.MKG","6","Valence","Morality","Knowledge","Normal",8,"MKG"
"R_0MR6imycpxMoiUp","norm8.MKG","3","Normality","Morality","Knowledge","Normal",8,"MKG"
"R_0MR6imycpxMoiUp","vale9.RKG","6","Valence","Rationality","Knowledge","Normal",9,"RKG"
"R_0MR6imycpxMoiUp","norm9.RKG","3","Normality","Rationality","Knowledge","Normal",9,"RKG"
"R_0MR6imycpxMoiUp","vale10.RIB","6","Valence","Rationality","Ignorance","Abnormal",10,"RIB"
"R_0MR6imycpxMoiUp","norm10.RIB","3","Normality","Rationality","Ignorance","Abnormal",10,"RIB"
