"ResponseId","condCod","CF responses","question","norm","knowledge","outcome","scenario","condition"
"R_33ruQie1vmpfqVi","modal01.MKB","4","Modal","Morality","Knowledge","Abnormal",1,"MKB"
"R_33ruQie1vmpfqVi","cfcon01.MKB","3","Counterfactual","Morality","Knowledge","Abnormal",1,"MKB"
"R_33ruQie1vmpfqVi","modal02.MKG","4","Modal","Morality","Knowledge","Normal",2,"MKG"
"R_33ruQie1vmpfqVi","cfcon02.MKG","3","Counterfactual","Morality","Knowledge","Normal",2,"MKG"
"R_33ruQie1vmpfqVi","modal03.MKG","4","Modal","Morality","Knowledge","Normal",3,"MKG"
"R_33ruQie1vmpfqVi","cfcon03.MKG","3","Counterfactual","Morality","Knowledge","Normal",3,"MKG"
"R_33ruQie1vmpfqVi","modal04.RKG","4","Modal","Rationality","Knowledge","Normal",4,"RKG"
"R_33ruQie1vmpfqVi","cfcon04.RKG","3","Counterfactual","Rationality","Knowledge","Normal",4,"RKG"
"R_33ruQie1vmpfqVi","modal05.MIG","4","Modal","Morality","Ignorance","Normal",5,"MIG"
"R_33ruQie1vmpfqVi","cfcon05.MIG","3","Counterfactual","Morality","Ignorance","Normal",5,"MIG"
"R_33ruQie1vmpfqVi","modal06.MIB","4","Modal","Morality","Ignorance","Abnormal",6,"MIB"
"R_33ruQie1vmpfqVi","cfcon06.MIB","3","Counterfactual","Morality","Ignorance","Abnormal",6,"MIB"
"R_33ruQie1vmpfqVi","modal07.MIG","4","Modal","Morality","Ignorance","Normal",7,"MIG"
"R_33ruQie1vmpfqVi","cfcon07.MIG","3","Counterfactual","Morality","Ignorance","Normal",7,"MIG"
"R_33ruQie1vmpfqVi","modal08.MIB","4","Modal","Morality","Ignorance","Abnormal",8,"MIB"
"R_33ruQie1vmpfqVi","cfcon08.MIB","3","Counterfactual","Morality","Ignorance","Abnormal",8,"MIB"
"R_33ruQie1vmpfqVi","modal09.RKG","4","Modal","Rationality","Knowledge","Normal",9,"RKG"
"R_33ruQie1vmpfqVi","cfcon09.RKG","3","Counterfactual","Rationality","Knowledge","Normal",9,"RKG"
"R_33ruQie1vmpfqVi","modal10.RIG","4","Modal","Rationality","Ignorance","Normal",10,"RIG"
"R_33ruQie1vmpfqVi","cfcon10.RIG","3","Counterfactual","Rationality","Ignorance","Normal",10,"RIG"
"R_33ruQie1vmpfqVi","modal11.MKG","4","Modal","Morality","Knowledge","Normal",11,"MKG"
"R_33ruQie1vmpfqVi","cfcon11.MKG","3","Counterfactual","Morality","Knowledge","Normal",11,"MKG"
"R_33ruQie1vmpfqVi","modal12.MIG","4","Modal","Morality","Ignorance","Normal",12,"MIG"
"R_33ruQie1vmpfqVi","cfcon12.MIG","3","Counterfactual","Morality","Ignorance","Normal",12,"MIG"
"R_33ruQie1vmpfqVi","modal13.MKB","4","Modal","Morality","Knowledge","Abnormal",13,"MKB"
"R_33ruQie1vmpfqVi","cfcon13.MKB","3","Counterfactual","Morality","Knowledge","Abnormal",13,"MKB"
"R_33ruQie1vmpfqVi","modal14.MKG","4","Modal","Morality","Knowledge","Normal",14,"MKG"
"R_33ruQie1vmpfqVi","cfcon14.MKG","3","Counterfactual","Morality","Knowledge","Normal",14,"MKG"
"R_33ruQie1vmpfqVi","modal15.RIB","4","Modal","Rationality","Ignorance","Abnormal",15,"RIB"
"R_33ruQie1vmpfqVi","cfcon15.RIB","3","Counterfactual","Rationality","Ignorance","Abnormal",15,"RIB"
"R_33ruQie1vmpfqVi","modal16.MIB","4","Modal","Morality","Ignorance","Abnormal",16,"MIB"
"R_33ruQie1vmpfqVi","cfcon16.MIB","3","Counterfactual","Morality","Ignorance","Abnormal",16,"MIB"
"R_paeEQ8anXjrmpRT","modal01.MKG","3","Modal","Morality","Knowledge","Normal",1,"MKG"
"R_paeEQ8anXjrmpRT","cfcon01.MKG","2","Counterfactual","Morality","Knowledge","Normal",1,"MKG"
"R_paeEQ8anXjrmpRT","modal02.MKG","2","Modal","Morality","Knowledge","Normal",2,"MKG"
"R_paeEQ8anXjrmpRT","cfcon02.MKG","3","Counterfactual","Morality","Knowledge","Normal",2,"MKG"
"R_paeEQ8anXjrmpRT","modal03.RKG","2","Modal","Rationality","Knowledge","Normal",3,"RKG"
"R_paeEQ8anXjrmpRT","cfcon03.RKG","3","Counterfactual","Rationality","Knowledge","Normal",3,"RKG"
"R_paeEQ8anXjrmpRT","modal04.RIB","2","Modal","Rationality","Ignorance","Abnormal",4,"RIB"
"R_paeEQ8anXjrmpRT","cfcon04.RIB","3","Counterfactual","Rationality","Ignorance","Abnormal",4,"RIB"
"R_paeEQ8anXjrmpRT","modal05.MKG","2","Modal","Morality","Knowledge","Normal",5,"MKG"
"R_paeEQ8anXjrmpRT","cfcon05.MKG","3","Counterfactual","Morality","Knowledge","Normal",5,"MKG"
"R_paeEQ8anXjrmpRT","modal06.MIB","3","Modal","Morality","Ignorance","Abnormal",6,"MIB"
"R_paeEQ8anXjrmpRT","cfcon06.MIB","2","Counterfactual","Morality","Ignorance","Abnormal",6,"MIB"
"R_paeEQ8anXjrmpRT","modal07.RIG","2","Modal","Rationality","Ignorance","Normal",7,"RIG"
"R_paeEQ8anXjrmpRT","cfcon07.RIG","3","Counterfactual","Rationality","Ignorance","Normal",7,"RIG"
"R_paeEQ8anXjrmpRT","modal08.MKB","3","Modal","Morality","Knowledge","Abnormal",8,"MKB"
"R_paeEQ8anXjrmpRT","cfcon08.MKB","2","Counterfactual","Morality","Knowledge","Abnormal",8,"MKB"
"R_paeEQ8anXjrmpRT","modal09.RKG","2","Modal","Rationality","Knowledge","Normal",9,"RKG"
"R_paeEQ8anXjrmpRT","cfcon09.RKG","3","Counterfactual","Rationality","Knowledge","Normal",9,"RKG"
"R_paeEQ8anXjrmpRT","modal10.MKG","2","Modal","Morality","Knowledge","Normal",10,"MKG"
"R_paeEQ8anXjrmpRT","cfcon10.MKG","3","Counterfactual","Morality","Knowledge","Normal",10,"MKG"
"R_paeEQ8anXjrmpRT","modal11.RIB","2","Modal","Rationality","Ignorance","Abnormal",11,"RIB"
"R_paeEQ8anXjrmpRT","cfcon11.RIB","3","Counterfactual","Rationality","Ignorance","Abnormal",11,"RIB"
"R_paeEQ8anXjrmpRT","modal12.RKB","3","Modal","Rationality","Knowledge","Abnormal",12,"RKB"
"R_paeEQ8anXjrmpRT","cfcon12.RKB","3","Counterfactual","Rationality","Knowledge","Abnormal",12,"RKB"
"R_paeEQ8anXjrmpRT","modal13.MIG","4","Modal","Morality","Ignorance","Normal",13,"MIG"
"R_paeEQ8anXjrmpRT","cfcon13.MIG","3","Counterfactual","Morality","Ignorance","Normal",13,"MIG"
"R_paeEQ8anXjrmpRT","modal14.MKB","4","Modal","Morality","Knowledge","Abnormal",14,"MKB"
"R_paeEQ8anXjrmpRT","cfcon14.MKB","3","Counterfactual","Morality","Knowledge","Abnormal",14,"MKB"
"R_paeEQ8anXjrmpRT","modal15.MKB","3","Modal","Morality","Knowledge","Abnormal",15,"MKB"
"R_paeEQ8anXjrmpRT","cfcon15.MKB","2","Counterfactual","Morality","Knowledge","Abnormal",15,"MKB"
"R_paeEQ8anXjrmpRT","modal16.MIG","2","Modal","Morality","Ignorance","Normal",16,"MIG"
"R_paeEQ8anXjrmpRT","cfcon16.MIG","4","Counterfactual","Morality","Ignorance","Normal",16,"MIG"
"R_zU0vaiKzpoKEAi5","modal01.RKG","2","Modal","Rationality","Knowledge","Normal",1,"RKG"
"R_zU0vaiKzpoKEAi5","cfcon01.RKG","3","Counterfactual","Rationality","Knowledge","Normal",1,"RKG"
"R_zU0vaiKzpoKEAi5","modal02.MIB","5","Modal","Morality","Ignorance","Abnormal",2,"MIB"
"R_zU0vaiKzpoKEAi5","cfcon02.MIB","6","Counterfactual","Morality","Ignorance","Abnormal",2,"MIB"
"R_zU0vaiKzpoKEAi5","modal03.RIB","3","Modal","Rationality","Ignorance","Abnormal",3,"RIB"
"R_zU0vaiKzpoKEAi5","cfcon03.RIB","4","Counterfactual","Rationality","Ignorance","Abnormal",3,"RIB"
"R_zU0vaiKzpoKEAi5","modal04.RKB","2","Modal","Rationality","Knowledge","Abnormal",4,"RKB"
"R_zU0vaiKzpoKEAi5","cfcon04.RKB","5","Counterfactual","Rationality","Knowledge","Abnormal",4,"RKB"
"R_zU0vaiKzpoKEAi5","modal05.RIB","1","Modal","Rationality","Ignorance","Abnormal",5,"RIB"
"R_zU0vaiKzpoKEAi5","cfcon05.RIB","2","Counterfactual","Rationality","Ignorance","Abnormal",5,"RIB"
"R_zU0vaiKzpoKEAi5","modal06.MKB","3","Modal","Morality","Knowledge","Abnormal",6,"MKB"
"R_zU0vaiKzpoKEAi5","cfcon06.MKB","2","Counterfactual","Morality","Knowledge","Abnormal",6,"MKB"
"R_zU0vaiKzpoKEAi5","modal07.MIG","1","Modal","Morality","Ignorance","Normal",7,"MIG"
"R_zU0vaiKzpoKEAi5","cfcon07.MIG","5","Counterfactual","Morality","Ignorance","Normal",7,"MIG"
"R_zU0vaiKzpoKEAi5","modal08.RIB","6","Modal","Rationality","Ignorance","Abnormal",8,"RIB"
"R_zU0vaiKzpoKEAi5","cfcon08.RIB","1","Counterfactual","Rationality","Ignorance","Abnormal",8,"RIB"
"R_zU0vaiKzpoKEAi5","modal09.RIB","5","Modal","Rationality","Ignorance","Abnormal",9,"RIB"
"R_zU0vaiKzpoKEAi5","cfcon09.RIB","7","Counterfactual","Rationality","Ignorance","Abnormal",9,"RIB"
"R_zU0vaiKzpoKEAi5","modal10.MIG","1","Modal","Morality","Ignorance","Normal",10,"MIG"
"R_zU0vaiKzpoKEAi5","cfcon10.MIG","3","Counterfactual","Morality","Ignorance","Normal",10,"MIG"
"R_zU0vaiKzpoKEAi5","modal11.MIB","7","Modal","Morality","Ignorance","Abnormal",11,"MIB"
"R_zU0vaiKzpoKEAi5","cfcon11.MIB","2","Counterfactual","Morality","Ignorance","Abnormal",11,"MIB"
"R_zU0vaiKzpoKEAi5","modal12.RKG","4","Modal","Rationality","Knowledge","Normal",12,"RKG"
"R_zU0vaiKzpoKEAi5","cfcon12.RKG","4","Counterfactual","Rationality","Knowledge","Normal",12,"RKG"
"R_zU0vaiKzpoKEAi5","modal13.RIG","6","Modal","Rationality","Ignorance","Normal",13,"RIG"
"R_zU0vaiKzpoKEAi5","cfcon13.RIG","5","Counterfactual","Rationality","Ignorance","Normal",13,"RIG"
"R_zU0vaiKzpoKEAi5","modal14.MKB","4","Modal","Morality","Knowledge","Abnormal",14,"MKB"
"R_zU0vaiKzpoKEAi5","cfcon14.MKB","2","Counterfactual","Morality","Knowledge","Abnormal",14,"MKB"
"R_zU0vaiKzpoKEAi5","modal15.RKG","6","Modal","Rationality","Knowledge","Normal",15,"RKG"
"R_zU0vaiKzpoKEAi5","cfcon15.RKG","6","Counterfactual","Rationality","Knowledge","Normal",15,"RKG"
"R_zU0vaiKzpoKEAi5","modal16.MIB","7","Modal","Morality","Ignorance","Abnormal",16,"MIB"
"R_zU0vaiKzpoKEAi5","cfcon16.MIB","1","Counterfactual","Morality","Ignorance","Abnormal",16,"MIB"
"R_1pG5G0oMPGxdOKm","modal01.MKG","6","Modal","Morality","Knowledge","Normal",1,"MKG"
"R_1pG5G0oMPGxdOKm","cfcon01.MKG","5","Counterfactual","Morality","Knowledge","Normal",1,"MKG"
"R_1pG5G0oMPGxdOKm","modal02.MKB","2","Modal","Morality","Knowledge","Abnormal",2,"MKB"
"R_1pG5G0oMPGxdOKm","cfcon02.MKB","3","Counterfactual","Morality","Knowledge","Abnormal",2,"MKB"
"R_1pG5G0oMPGxdOKm","modal03.RKG","5","Modal","Rationality","Knowledge","Normal",3,"RKG"
"R_1pG5G0oMPGxdOKm","cfcon03.RKG","3","Counterfactual","Rationality","Knowledge","Normal",3,"RKG"
"R_1pG5G0oMPGxdOKm","modal04.RIB","5","Modal","Rationality","Ignorance","Abnormal",4,"RIB"
"R_1pG5G0oMPGxdOKm","cfcon04.RIB","6","Counterfactual","Rationality","Ignorance","Abnormal",4,"RIB"
"R_1pG5G0oMPGxdOKm","modal05.MIB","2","Modal","Morality","Ignorance","Abnormal",5,"MIB"
"R_1pG5G0oMPGxdOKm","cfcon05.MIB","3","Counterfactual","Morality","Ignorance","Abnormal",5,"MIB"
"R_1pG5G0oMPGxdOKm","modal06.RIG","2","Modal","Rationality","Ignorance","Normal",6,"RIG"
"R_1pG5G0oMPGxdOKm","cfcon06.RIG","3","Counterfactual","Rationality","Ignorance","Normal",6,"RIG"
"R_1pG5G0oMPGxdOKm","modal07.RIG","5","Modal","Rationality","Ignorance","Normal",7,"RIG"
"R_1pG5G0oMPGxdOKm","cfcon07.RIG","2","Counterfactual","Rationality","Ignorance","Normal",7,"RIG"
"R_1pG5G0oMPGxdOKm","modal08.RKB","2","Modal","Rationality","Knowledge","Abnormal",8,"RKB"
"R_1pG5G0oMPGxdOKm","cfcon08.RKB","2","Counterfactual","Rationality","Knowledge","Abnormal",8,"RKB"
"R_1pG5G0oMPGxdOKm","modal09.MKG","2","Modal","Morality","Knowledge","Normal",9,"MKG"
"R_1pG5G0oMPGxdOKm","cfcon09.MKG","3","Counterfactual","Morality","Knowledge","Normal",9,"MKG"
"R_1pG5G0oMPGxdOKm","modal10.MKG","2","Modal","Morality","Knowledge","Normal",10,"MKG"
