"age","gender","ethn","edu"
"34","1","2","3"
"24","1","5","4"
"19","2","3","4"
"26","2","5","2"
"35","2","5","5"
"34","1","5","5"
"32","2","5","4"
"64","1","5","4"
"49","1","5","4"
"40","1","5","5"
"24","1","5","2"
"36","1","5","4"
"33","2","5","5"
"23","1","5","4"
"21","2","6","2"
"26","2","5","4"
"34","2","2","6"
"21","1","5","4"
"38","1","5","5"
"26","1","5","6"
"20","2","3","4"
"34","1","5","4"
"30","1","5","4"
"31","2","5","2"
"36","2","5","3"
"38","1","3","5"
"25","1","5","5"
"52","1","5","5"
"24","1","5","5"
"30","1","2","4"
"23","1","5","2"
"35","1","5","4"
"40","1","5","5"
"50","2","5","5"
"20","2","5","3"
"49","1","5","6"
"21","2","5","4"
"42","2","5","5"
"30","2","5","4"
"76","2","5","2"
"44","1","5","4"
"28","1","5","2"
"32","1","5","3"
"33","1","1","5"
"35","2","5","3"
"56","2","5","4"
"31","2","2","4"
"29","1","5","5"
"36","2","2","5"
"60","1","5","5"
"32","1","5","6"
"34","1","5","4"
"31","1","5","4"
"29","1","5","3"
"34","1","2","5"
"31","2","5","4"
"26","2","5","4"
"29","2","5","5"
"26","2","5","6"
"37","2","3","5"
"30","1","5","4"
"29","1","3","5"
"56","1","5","2"
"28","1","5","4"
"32","1","5","2"
"65","2","4","4"
"40","1","5","2"
"31","1","5","2"
"26","1","5","5"
"57","2","5","2"
"","2","5","3"
"24","1","5","5"
"28","1","5","5"
"41","1","5","3"
"25","1","2","4"
"50","2","5","4"
"29","1","2","4"
"29","1","3","8"
"27","1","2","6"
"37","1","5","2"
"55","1","5","5"
"20","1","5","4"
"31","1","2","2"
"21","1","3","4"
"20","1","5","3"
"36","2","5","4"
"25","1","2","4"
"19","1","5","4"
"64","2","5","4"
"22","1","5","4"
"23","1","1","5"
"31","1","5","4"
"25","2","5","4"
"57","2","3","5"
"26","2","5","5"
"30","1","5","5"
"25","1","5","2"
"40","1","5","2"
"38","2","5","5"
"44","1","5","6"
