"ResponseId","condCod","CF responses","question","norm","knowledge","ocOri","scenario","condition","outcome"
"R_33ruQie1vmpfqVi","modal01.MKB",4,"Modal","Morality","Knowledge","Abnormal",1,"MKB","Abnormal"
"R_33ruQie1vmpfqVi","cfcon01.MKB",3,"Counterfactual","Morality","Knowledge","Abnormal",1,"MKB","Abnormal"
"R_33ruQie1vmpfqVi","modal02.MKG",4,"Modal","Morality","Knowledge","Normal",2,"MKG","Normal"
"R_33ruQie1vmpfqVi","cfcon02.MKG",3,"Counterfactual","Morality","Knowledge","Normal",2,"MKG","Normal"
"R_33ruQie1vmpfqVi","modal03.MKG",4,"Modal","Morality","Knowledge","Normal",3,"MKG","Normal"
"R_33ruQie1vmpfqVi","cfcon03.MKG",3,"Counterfactual","Morality","Knowledge","Normal",3,"MKG","Normal"
"R_33ruQie1vmpfqVi","modal04.RKG",4,"Modal","Rationality","Knowledge","Normal",4,"RKG","Normal"
"R_33ruQie1vmpfqVi","cfcon04.RKG",3,"Counterfactual","Rationality","Knowledge","Normal",4,"RKG","Normal"
"R_33ruQie1vmpfqVi","modal05.MIG",4,"Modal","Morality","Ignorance","Normal",5,"MIG","Normal"
"R_33ruQie1vmpfqVi","cfcon05.MIG",3,"Counterfactual","Morality","Ignorance","Normal",5,"MIG","Normal"
"R_33ruQie1vmpfqVi","modal06.MIB",4,"Modal","Morality","Ignorance","Abnormal",6,"MIB","Abnormal"
"R_33ruQie1vmpfqVi","cfcon06.MIB",3,"Counterfactual","Morality","Ignorance","Abnormal",6,"MIB","Abnormal"
"R_33ruQie1vmpfqVi","modal07.MIG.1",4,"Modal","Morality","Ignorance","Normal",7,"MIG","Normal"
"R_33ruQie1vmpfqVi","cfcon07.MIG.1",3,"Counterfactual","Morality","Ignorance","Normal",7,"MIG","Normal"
"R_33ruQie1vmpfqVi","modal08.MIB",4,"Modal","Morality","Ignorance","Abnormal",8,"MIB","Abnormal"
"R_33ruQie1vmpfqVi","cfcon08.MIB",3,"Counterfactual","Morality","Ignorance","Abnormal",8,"MIB","Abnormal"
"R_33ruQie1vmpfqVi","modal09.RKG",4,"Modal","Rationality","Knowledge","Normal",9,"RKG","Normal"
"R_33ruQie1vmpfqVi","cfcon09.RKG",3,"Counterfactual","Rationality","Knowledge","Normal",9,"RKG","Normal"
"R_33ruQie1vmpfqVi","modal10.RIG",4,"Modal","Rationality","Ignorance","Normal",10,"RIG","Normal"
"R_33ruQie1vmpfqVi","cfcon10.RIG",3,"Counterfactual","Rationality","Ignorance","Normal",10,"RIG","Normal"
"R_33ruQie1vmpfqVi","modal11.MKG",4,"Modal","Morality","Knowledge","Normal",11,"MKG","Normal"
"R_33ruQie1vmpfqVi","cfcon11.MKG",3,"Counterfactual","Morality","Knowledge","Normal",11,"MKG","Normal"
"R_33ruQie1vmpfqVi","modal12.MIG",4,"Modal","Morality","Ignorance","Normal",12,"MIG","Normal"
"R_33ruQie1vmpfqVi","cfcon12.MIG",3,"Counterfactual","Morality","Ignorance","Normal",12,"MIG","Normal"
"R_33ruQie1vmpfqVi","modal13.MKB",4,"Modal","Morality","Knowledge","Abnormal",13,"MKB","Abnormal"
"R_33ruQie1vmpfqVi","cfcon13.MKB",3,"Counterfactual","Morality","Knowledge","Abnormal",13,"MKB","Abnormal"
"R_33ruQie1vmpfqVi","modal14.MKG",4,"Modal","Morality","Knowledge","Normal",14,"MKG","Normal"
"R_33ruQie1vmpfqVi","cfcon14.MKG",3,"Counterfactual","Morality","Knowledge","Normal",14,"MKG","Normal"
"R_33ruQie1vmpfqVi","modal15.RIB",4,"Modal","Rationality","Ignorance","Abnormal",15,"RIB","Abnormal"
"R_33ruQie1vmpfqVi","cfcon15.RIB",3,"Counterfactual","Rationality","Ignorance","Abnormal",15,"RIB","Abnormal"
"R_33ruQie1vmpfqVi","modal16.MIB",4,"Modal","Morality","Ignorance","Abnormal",16,"MIB","Abnormal"
"R_33ruQie1vmpfqVi","cfcon16.MIB",3,"Counterfactual","Morality","Ignorance","Abnormal",16,"MIB","Abnormal"
"R_paeEQ8anXjrmpRT","modal01.MKG",3,"Modal","Morality","Knowledge","Normal",1,"MKG","Normal"
"R_paeEQ8anXjrmpRT","cfcon01.MKG",2,"Counterfactual","Morality","Knowledge","Normal",1,"MKG","Normal"
"R_paeEQ8anXjrmpRT","modal02.MKG",2,"Modal","Morality","Knowledge","Normal",2,"MKG","Normal"
"R_paeEQ8anXjrmpRT","cfcon02.MKG",3,"Counterfactual","Morality","Knowledge","Normal",2,"MKG","Normal"
"R_paeEQ8anXjrmpRT","modal03.RKG",2,"Modal","Rationality","Knowledge","Normal",3,"RKG","Normal"
"R_paeEQ8anXjrmpRT","cfcon03.RKG",3,"Counterfactual","Rationality","Knowledge","Normal",3,"RKG","Normal"
"R_paeEQ8anXjrmpRT","modal04.RIB",2,"Modal","Rationality","Ignorance","Abnormal",4,"RIB","Abnormal"
"R_paeEQ8anXjrmpRT","cfcon04.RIB",3,"Counterfactual","Rationality","Ignorance","Abnormal",4,"RIB","Abnormal"
"R_paeEQ8anXjrmpRT","modal05.MKG",2,"Modal","Morality","Knowledge","Normal",5,"MKG","Normal"
"R_paeEQ8anXjrmpRT","cfcon05.MKG",3,"Counterfactual","Morality","Knowledge","Normal",5,"MKG","Normal"
"R_paeEQ8anXjrmpRT","modal06.MIB",3,"Modal","Morality","Ignorance","Abnormal",6,"MIB","Abnormal"
"R_paeEQ8anXjrmpRT","cfcon06.MIB",2,"Counterfactual","Morality","Ignorance","Abnormal",6,"MIB","Abnormal"
"R_paeEQ8anXjrmpRT","modal07.RIG",2,"Modal","Rationality","Ignorance","Normal",7,"RIG","Normal"
"R_paeEQ8anXjrmpRT","cfcon07.RIG",3,"Counterfactual","Rationality","Ignorance","Normal",7,"RIG","Normal"
"R_paeEQ8anXjrmpRT","modal08.MKB",3,"Modal","Morality","Knowledge","Abnormal",8,"MKB","Abnormal"
"R_paeEQ8anXjrmpRT","cfcon08.MKB",2,"Counterfactual","Morality","Knowledge","Abnormal",8,"MKB","Abnormal"
"R_paeEQ8anXjrmpRT","modal09.RKG",2,"Modal","Rationality","Knowledge","Normal",9,"RKG","Normal"
"R_paeEQ8anXjrmpRT","cfcon09.RKG",3,"Counterfactual","Rationality","Knowledge","Normal",9,"RKG","Normal"
"R_paeEQ8anXjrmpRT","modal10.MKG",2,"Modal","Morality","Knowledge","Normal",10,"MKG","Normal"
"R_paeEQ8anXjrmpRT","cfcon10.MKG",3,"Counterfactual","Morality","Knowledge","Normal",10,"MKG","Normal"
"R_paeEQ8anXjrmpRT","modal11.RIB",2,"Modal","Rationality","Ignorance","Abnormal",11,"RIB","Abnormal"
"R_paeEQ8anXjrmpRT","cfcon11.RIB",3,"Counterfactual","Rationality","Ignorance","Abnormal",11,"RIB","Abnormal"
"R_paeEQ8anXjrmpRT","modal12.RKB",3,"Modal","Rationality","Knowledge","Abnormal",12,"RKB","Abnormal"
"R_paeEQ8anXjrmpRT","cfcon12.RKB",3,"Counterfactual","Rationality","Knowledge","Abnormal",12,"RKB","Abnormal"
"R_paeEQ8anXjrmpRT","modal13.MIG",4,"Modal","Morality","Ignorance","Normal",13,"MIG","Normal"
"R_paeEQ8anXjrmpRT","cfcon13.MIG",3,"Counterfactual","Morality","Ignorance","Normal",13,"MIG","Normal"
"R_paeEQ8anXjrmpRT","modal14.MKB",4,"Modal","Morality","Knowledge","Abnormal",14,"MKB","Abnormal"
"R_paeEQ8anXjrmpRT","cfcon14.MKB",3,"Counterfactual","Morality","Knowledge","Abnormal",14,"MKB","Abnormal"
"R_paeEQ8anXjrmpRT","modal15.MKB",3,"Modal","Morality","Knowledge","Abnormal",15,"MKB","Abnormal"
"R_paeEQ8anXjrmpRT","cfcon15.MKB",2,"Counterfactual","Morality","Knowledge","Abnormal",15,"MKB","Abnormal"
"R_paeEQ8anXjrmpRT","modal16.MIG",2,"Modal","Morality","Ignorance","Normal",16,"MIG","Normal"
"R_paeEQ8anXjrmpRT","cfcon16.MIG",4,"Counterfactual","Morality","Ignorance","Normal",16,"MIG","Normal"
"R_zU0vaiKzpoKEAi5","modal01.RKG",2,"Modal","Rationality","Knowledge","Normal",1,"RKG","Normal"
"R_zU0vaiKzpoKEAi5","cfcon01.RKG",3,"Counterfactual","Rationality","Knowledge","Normal",1,"RKG","Normal"
"R_zU0vaiKzpoKEAi5","modal02.MIB",5,"Modal","Morality","Ignorance","Abnormal",2,"MIB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon02.MIB",6,"Counterfactual","Morality","Ignorance","Abnormal",2,"MIB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal03.RIB",3,"Modal","Rationality","Ignorance","Abnormal",3,"RIB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon03.RIB",4,"Counterfactual","Rationality","Ignorance","Abnormal",3,"RIB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal04.RKB",2,"Modal","Rationality","Knowledge","Abnormal",4,"RKB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon04.RKB",5,"Counterfactual","Rationality","Knowledge","Abnormal",4,"RKB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal05.RIB",1,"Modal","Rationality","Ignorance","Abnormal",5,"RIB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon05.RIB",2,"Counterfactual","Rationality","Ignorance","Abnormal",5,"RIB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal06.MKB",3,"Modal","Morality","Knowledge","Abnormal",6,"MKB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon06.MKB",2,"Counterfactual","Morality","Knowledge","Abnormal",6,"MKB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal07.MIG.1",1,"Modal","Morality","Ignorance","Normal",7,"MIG","Normal"
"R_zU0vaiKzpoKEAi5","cfcon07.MIG.1",5,"Counterfactual","Morality","Ignorance","Normal",7,"MIG","Normal"
"R_zU0vaiKzpoKEAi5","modal08.RIB",6,"Modal","Rationality","Ignorance","Abnormal",8,"RIB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon08.RIB",1,"Counterfactual","Rationality","Ignorance","Abnormal",8,"RIB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal09.RIB",5,"Modal","Rationality","Ignorance","Abnormal",9,"RIB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon09.RIB",7,"Counterfactual","Rationality","Ignorance","Abnormal",9,"RIB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal10.MIG",1,"Modal","Morality","Ignorance","Normal",10,"MIG","Normal"
"R_zU0vaiKzpoKEAi5","cfcon10.MIG",3,"Counterfactual","Morality","Ignorance","Normal",10,"MIG","Normal"
"R_zU0vaiKzpoKEAi5","modal11.MIB",7,"Modal","Morality","Ignorance","Abnormal",11,"MIB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon11.MIB",2,"Counterfactual","Morality","Ignorance","Abnormal",11,"MIB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal12.RKG",4,"Modal","Rationality","Knowledge","Normal",12,"RKG","Normal"
"R_zU0vaiKzpoKEAi5","cfcon12.RKG",4,"Counterfactual","Rationality","Knowledge","Normal",12,"RKG","Normal"
"R_zU0vaiKzpoKEAi5","modal13.RIG",6,"Modal","Rationality","Ignorance","Normal",13,"RIG","Normal"
"R_zU0vaiKzpoKEAi5","cfcon13.RIG",5,"Counterfactual","Rationality","Ignorance","Normal",13,"RIG","Normal"
"R_zU0vaiKzpoKEAi5","modal14.MKB",4,"Modal","Morality","Knowledge","Abnormal",14,"MKB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon14.MKB",2,"Counterfactual","Morality","Knowledge","Abnormal",14,"MKB","Abnormal"
"R_zU0vaiKzpoKEAi5","modal15.RKG",6,"Modal","Rationality","Knowledge","Normal",15,"RKG","Normal"
"R_zU0vaiKzpoKEAi5","cfcon15.RKG",6,"Counterfactual","Rationality","Knowledge","Normal",15,"RKG","Normal"
"R_zU0vaiKzpoKEAi5","modal16.MIB",7,"Modal","Morality","Ignorance","Abnormal",16,"MIB","Abnormal"
"R_zU0vaiKzpoKEAi5","cfcon16.MIB",1,"Counterfactual","Morality","Ignorance","Abnormal",16,"MIB","Abnormal"
"R_1pG5G0oMPGxdOKm","modal01.MKG",6,"Modal","Morality","Knowledge","Normal",1,"MKG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon01.MKG",5,"Counterfactual","Morality","Knowledge","Normal",1,"MKG","Normal"
"R_1pG5G0oMPGxdOKm","modal02.MKB",2,"Modal","Morality","Knowledge","Abnormal",2,"MKB","Abnormal"
"R_1pG5G0oMPGxdOKm","cfcon02.MKB",3,"Counterfactual","Morality","Knowledge","Abnormal",2,"MKB","Abnormal"
"R_1pG5G0oMPGxdOKm","modal03.RKG",5,"Modal","Rationality","Knowledge","Normal",3,"RKG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon03.RKG",3,"Counterfactual","Rationality","Knowledge","Normal",3,"RKG","Normal"
"R_1pG5G0oMPGxdOKm","modal04.RIB",5,"Modal","Rationality","Ignorance","Abnormal",4,"RIB","Abnormal"
"R_1pG5G0oMPGxdOKm","cfcon04.RIB",6,"Counterfactual","Rationality","Ignorance","Abnormal",4,"RIB","Abnormal"
"R_1pG5G0oMPGxdOKm","modal05.MIB",2,"Modal","Morality","Ignorance","Abnormal",5,"MIB","Abnormal"
"R_1pG5G0oMPGxdOKm","cfcon05.MIB",3,"Counterfactual","Morality","Ignorance","Abnormal",5,"MIB","Abnormal"
"R_1pG5G0oMPGxdOKm","modal06.RIG",2,"Modal","Rationality","Ignorance","Normal",6,"RIG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon06.RIG",3,"Counterfactual","Rationality","Ignorance","Normal",6,"RIG","Normal"
"R_1pG5G0oMPGxdOKm","modal07.RIG",5,"Modal","Rationality","Ignorance","Normal",7,"RIG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon07.RIG",2,"Counterfactual","Rationality","Ignorance","Normal",7,"RIG","Normal"
"R_1pG5G0oMPGxdOKm","modal08.RKB",2,"Modal","Rationality","Knowledge","Abnormal",8,"RKB","Abnormal"
"R_1pG5G0oMPGxdOKm","cfcon08.RKB",2,"Counterfactual","Rationality","Knowledge","Abnormal",8,"RKB","Abnormal"
"R_1pG5G0oMPGxdOKm","modal09.MKG",2,"Modal","Morality","Knowledge","Normal",9,"MKG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon09.MKG",3,"Counterfactual","Morality","Knowledge","Normal",9,"MKG","Normal"
"R_1pG5G0oMPGxdOKm","modal10.MKG",2,"Modal","Morality","Knowledge","Normal",10,"MKG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon10.MKG",5,"Counterfactual","Morality","Knowledge","Normal",10,"MKG","Normal"
"R_1pG5G0oMPGxdOKm","modal11.RIG",2,"Modal","Rationality","Ignorance","Normal",11,"RIG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon11.RIG",5,"Counterfactual","Rationality","Ignorance","Normal",11,"RIG","Normal"
"R_1pG5G0oMPGxdOKm","modal12.RKB",2,"Modal","Rationality","Knowledge","Abnormal",12,"RKB","Abnormal"
"R_1pG5G0oMPGxdOKm","cfcon12.RKB",6,"Counterfactual","Rationality","Knowledge","Abnormal",12,"RKB","Abnormal"
"R_1pG5G0oMPGxdOKm","modal13.RKG",2,"Modal","Rationality","Knowledge","Normal",13,"RKG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon13.RKG",2,"Counterfactual","Rationality","Knowledge","Normal",13,"RKG","Normal"
"R_1pG5G0oMPGxdOKm","modal14.RKG",5,"Modal","Rationality","Knowledge","Normal",14,"RKG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon14.RKG",2,"Counterfactual","Rationality","Knowledge","Normal",14,"RKG","Normal"
"R_1pG5G0oMPGxdOKm","modal15.MIG",3,"Modal","Morality","Ignorance","Normal",15,"MIG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon15.MIG",5,"Counterfactual","Morality","Ignorance","Normal",15,"MIG","Normal"
"R_1pG5G0oMPGxdOKm","modal16.RKG",3,"Modal","Rationality","Knowledge","Normal",16,"RKG","Normal"
"R_1pG5G0oMPGxdOKm","cfcon16.RKG",5,"Counterfactual","Rationality","Knowledge","Normal",16,"RKG","Normal"
"R_1r04SOtFMY00HSV","modal01.RIB",2,"Modal","Rationality","Ignorance","Abnormal",1,"RIB","Abnormal"
"R_1r04SOtFMY00HSV","cfcon01.RIB",6,"Counterfactual","Rationality","Ignorance","Abnormal",1,"RIB","Abnormal"
"R_1r04SOtFMY00HSV","modal02.MIB",2,"Modal","Morality","Ignorance","Abnormal",2,"MIB","Abnormal"
"R_1r04SOtFMY00HSV","cfcon02.MIB",5,"Counterfactual","Morality","Ignorance","Abnormal",2,"MIB","Abnormal"
"R_1r04SOtFMY00HSV","modal03.MIG",3,"Modal","Morality","Ignorance","Normal",3,"MIG","Normal"
"R_1r04SOtFMY00HSV","cfcon03.MIG",5,"Counterfactual","Morality","Ignorance","Normal",3,"MIG","Normal"
"R_1r04SOtFMY00HSV","modal04.MKG",2,"Modal","Morality","Knowledge","Normal",4,"MKG","Normal"
"R_1r04SOtFMY00HSV","cfcon04.MKG",2,"Counterfactual","Morality","Knowledge","Normal",4,"MKG","Normal"
"R_1r04SOtFMY00HSV","modal05.MIG",2,"Modal","Morality","Ignorance","Normal",5,"MIG","Normal"
"R_1r04SOtFMY00HSV","cfcon05.MIG",5,"Counterfactual","Morality","Ignorance","Normal",5,"MIG","Normal"
"R_1r04SOtFMY00HSV","modal06.RIB",2,"Modal","Rationality","Ignorance","Abnormal",6,"RIB","Abnormal"
"R_1r04SOtFMY00HSV","cfcon06.RIB",5,"Counterfactual","Rationality","Ignorance","Abnormal",6,"RIB","Abnormal"
"R_1r04SOtFMY00HSV","modal07.MIG.1",2,"Modal","Morality","Ignorance","Normal",7,"MIG","Normal"
"R_1r04SOtFMY00HSV","cfcon07.MIG.1",6,"Counterfactual","Morality","Ignorance","Normal",7,"MIG","Normal"
"R_1r04SOtFMY00HSV","modal08.MIG",6,"Modal","Morality","Ignorance","Normal",8,"MIG","Normal"
"R_1r04SOtFMY00HSV","cfcon08.MIG",3,"Counterfactual","Morality","Ignorance","Normal",8,"MIG","Normal"
"R_1r04SOtFMY00HSV","modal09.RKG",3,"Modal","Rationality","Knowledge","Normal",9,"RKG","Normal"
"R_1r04SOtFMY00HSV","cfcon09.RKG",5,"Counterfactual","Rationality","Knowledge","Normal",9,"RKG","Normal"
"R_1r04SOtFMY00HSV","modal10.RKG",2,"Modal","Rationality","Knowledge","Normal",10,"RKG","Normal"
"R_1r04SOtFMY00HSV","cfcon10.RKG",5,"Counterfactual","Rationality","Knowledge","Normal",10,"RKG","Normal"
"R_1r04SOtFMY00HSV","modal11.RKB",2,"Modal","Rationality","Knowledge","Abnormal",11,"RKB","Abnormal"
"R_1r04SOtFMY00HSV","cfcon11.RKB",5,"Counterfactual","Rationality","Knowledge","Abnormal",11,"RKB","Abnormal"
"R_1r04SOtFMY00HSV","modal12.RIG",2,"Modal","Rationality","Ignorance","Normal",12,"RIG","Normal"
"R_1r04SOtFMY00HSV","cfcon12.RIG",5,"Counterfactual","Rationality","Ignorance","Normal",12,"RIG","Normal"
"R_1r04SOtFMY00HSV","modal13.MIB",2,"Modal","Morality","Ignorance","Abnormal",13,"MIB","Abnormal"
"R_1r04SOtFMY00HSV","cfcon13.MIB",6,"Counterfactual","Morality","Ignorance","Abnormal",13,"MIB","Abnormal"
"R_1r04SOtFMY00HSV","modal14.MIG",2,"Modal","Morality","Ignorance","Normal",14,"MIG","Normal"
"R_1r04SOtFMY00HSV","cfcon14.MIG",3,"Counterfactual","Morality","Ignorance","Normal",14,"MIG","Normal"
"R_1r04SOtFMY00HSV","modal15.RKB",5,"Modal","Rationality","Knowledge","Abnormal",15,"RKB","Abnormal"
"R_1r04SOtFMY00HSV","cfcon15.RKB",3,"Counterfactual","Rationality","Knowledge","Abnormal",15,"RKB","Abnormal"
"R_1r04SOtFMY00HSV","modal16.RIB",2,"Modal","Rationality","Ignorance","Abnormal",16,"RIB","Abnormal"
"R_1r04SOtFMY00HSV","cfcon16.RIB",5,"Counterfactual","Rationality","Ignorance","Abnormal",16,"RIB","Abnormal"
"R_1Hq130S3Hz8kEEi","modal01.RKB",7,"Modal","Rationality","Knowledge","Abnormal",1,"RKB","Abnormal"
"R_1Hq130S3Hz8kEEi","cfcon01.RKB",5,"Counterfactual","Rationality","Knowledge","Abnormal",1,"RKB","Abnormal"
"R_1Hq130S3Hz8kEEi","modal02.MKB",6,"Modal","Morality","Knowledge","Abnormal",2,"MKB","Abnormal"
"R_1Hq130S3Hz8kEEi","cfcon02.MKB",5,"Counterfactual","Morality","Knowledge","Abnormal",2,"MKB","Abnormal"
"R_1Hq130S3Hz8kEEi","modal03.MIG",5,"Modal","Morality","Ignorance","Normal",3,"MIG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon03.MIG",4,"Counterfactual","Morality","Ignorance","Normal",3,"MIG","Normal"
"R_1Hq130S3Hz8kEEi","modal04.MKG",4,"Modal","Morality","Knowledge","Normal",4,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon04.MKG",3,"Counterfactual","Morality","Knowledge","Normal",4,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","modal05.RKG",7,"Modal","Rationality","Knowledge","Normal",5,"RKG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon05.RKG",4,"Counterfactual","Rationality","Knowledge","Normal",5,"RKG","Normal"
"R_1Hq130S3Hz8kEEi","modal06.MKB",5,"Modal","Morality","Knowledge","Abnormal",6,"MKB","Abnormal"
"R_1Hq130S3Hz8kEEi","cfcon06.MKB",5,"Counterfactual","Morality","Knowledge","Abnormal",6,"MKB","Abnormal"
"R_1Hq130S3Hz8kEEi","modal07.MIG",6,"Modal","Morality","Ignorance","Normal",7,"MIG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon07.MIG",3,"Counterfactual","Morality","Ignorance","Normal",7,"MIG","Normal"
"R_1Hq130S3Hz8kEEi","modal08.RKG",7,"Modal","Rationality","Knowledge","Normal",8,"RKG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon08.RKG",2,"Counterfactual","Rationality","Knowledge","Normal",8,"RKG","Normal"
"R_1Hq130S3Hz8kEEi","modal09.MIB",4,"Modal","Morality","Ignorance","Abnormal",9,"MIB","Abnormal"
"R_1Hq130S3Hz8kEEi","cfcon09.MIB",4,"Counterfactual","Morality","Ignorance","Abnormal",9,"MIB","Abnormal"
"R_1Hq130S3Hz8kEEi","modal10.MKG",5,"Modal","Morality","Knowledge","Normal",10,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon10.MKG",4,"Counterfactual","Morality","Knowledge","Normal",10,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","modal11.MKG",6,"Modal","Morality","Knowledge","Normal",11,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon11.MKG",4,"Counterfactual","Morality","Knowledge","Normal",11,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","modal12.MKG",6,"Modal","Morality","Knowledge","Normal",12,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon12.MKG",3,"Counterfactual","Morality","Knowledge","Normal",12,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","modal13.RKB",7,"Modal","Rationality","Knowledge","Abnormal",13,"RKB","Abnormal"
"R_1Hq130S3Hz8kEEi","cfcon13.RKB",6,"Counterfactual","Rationality","Knowledge","Abnormal",13,"RKB","Abnormal"
"R_1Hq130S3Hz8kEEi","modal14.RIG",6,"Modal","Rationality","Ignorance","Normal",14,"RIG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon14.RIG",1,"Counterfactual","Rationality","Ignorance","Normal",14,"RIG","Normal"
"R_1Hq130S3Hz8kEEi","modal15.RKB",7,"Modal","Rationality","Knowledge","Abnormal",15,"RKB","Abnormal"
"R_1Hq130S3Hz8kEEi","cfcon15.RKB",6,"Counterfactual","Rationality","Knowledge","Abnormal",15,"RKB","Abnormal"
"R_1Hq130S3Hz8kEEi","modal16.MKG",6,"Modal","Morality","Knowledge","Normal",16,"MKG","Normal"
"R_1Hq130S3Hz8kEEi","cfcon16.MKG",3,"Counterfactual","Morality","Knowledge","Normal",16,"MKG","Normal"
"R_2SGm0oLNBOcb2Ee","modal01.MIG",6,"Modal","Morality","Ignorance","Normal",1,"MIG","Normal"
"R_2SGm0oLNBOcb2Ee","cfcon01.MIG",5,"Counterfactual","Morality","Ignorance","Normal",1,"MIG","Normal"
"R_2SGm0oLNBOcb2Ee","modal02.MIG",3,"Modal","Morality","Ignorance","Normal",2,"MIG","Normal"
"R_2SGm0oLNBOcb2Ee","cfcon02.MIG",4,"Counterfactual","Morality","Ignorance","Normal",2,"MIG","Normal"
"R_2SGm0oLNBOcb2Ee","modal03.RIG",5,"Modal","Rationality","Ignorance","Normal",3,"RIG","Normal"
"R_2SGm0oLNBOcb2Ee","cfcon03.RIG",4,"Counterfactual","Rationality","Ignorance","Normal",3,"RIG","Normal"
"R_2SGm0oLNBOcb2Ee","modal04.MIB",5,"Modal","Morality","Ignorance","Abnormal",4,"MIB","Abnormal"
"R_2SGm0oLNBOcb2Ee","cfcon04.MIB",4,"Counterfactual","Morality","Ignorance","Abnormal",4,"MIB","Abnormal"
"R_2SGm0oLNBOcb2Ee","modal05.MKG",4,"Modal","Morality","Knowledge","Normal",5,"MKG","Normal"
"R_2SGm0oLNBOcb2Ee","cfcon05.MKG",4,"Counterfactual","Morality","Knowledge","Normal",5,"MKG","Normal"
"R_2SGm0oLNBOcb2Ee","modal06.RKB",4,"Modal","Rationality","Knowledge","Abnormal",6,"RKB","Abnormal"
"R_2SGm0oLNBOcb2Ee","cfcon06.RKB",4,"Counterfactual","Rationality","Knowledge","Abnormal",6,"RKB","Abnormal"
"R_2SGm0oLNBOcb2Ee","modal07.MKG",6,"Modal","Morality","Knowledge","Normal",7,"MKG","Normal"
"R_2SGm0oLNBOcb2Ee","cfcon07.MKG",2,"Counterfactual","Morality","Knowledge","Normal",7,"MKG","Normal"
"R_2SGm0oLNBOcb2Ee","modal08.MIG",5,"Modal","Morality","Ignorance","Normal",8,"MIG","Normal"
"R_2SGm0oLNBOcb2Ee","cfcon08.MIG",6,"Counterfactual","Morality","Ignorance","Normal",8,"MIG","Normal"
"R_2SGm0oLNBOcb2Ee","modal09.MIB",5,"Modal","Morality","Ignorance","Abnormal",9,"MIB","Abnormal"
