"age","gender","ethn","edu","ses"
"32","1","5","4","8"
"33","1","5","5","6"
"31","1","5","4","5"
"33","1","5","4","6"
"27","2","2","6","2"
"38","1","5","4","8"
"20","1","1","4","6"
"34","2","5","5","3"
"24","2","5","5","6"
"44","2","5","5","5"
"32","2","5","6","4"
"26","2","5","5","8"
"40","2","5","5","7"
"29","1","5","5","6"
"32","2","5","5","7"
"40","1","5","5","6"
"40","2","5","2","6"
"34","1","5","6","5"
"26","1","5","2","9"
"48","1","5","4","4"
"33","1","2","5","3"
"26","1","5","5","6"
"35","2","5","5","5"
"32","2","5","5","5"
"23","1","5","2","6"
"26","2","5","3","7"
"42","1","5","5","5"
"23","2","5","3","6"
"34","1","5","4","8"
"34","2","5","5","7"
"33","2","1","6","6"
"26","1","3","4","9"
"33","1","5","6","5"
"27","2","3","5","8"
"33","1","5","2","8"
"39","2","5","5","9"
"30","2","5","5","5"
"20","1","2","2","4"
"47","2","5","5","10"
"29","1","5","4","5"
"24","1","5","5","4"
"26","1","5","5","6"
"39","2","5","5","6"
"43","2","5","5","9"
"34","1","5","5","4"
"32","1","5","5","6"
"28","1","5","4","4"
"37","2","5","6","6"
"47","2","5","2","6"
"27","1","5","3","8"
"32","2","5","2","9"
"23","1","5","2","7"
"25","1","2","5","10"
"46","1","5","6","8"
"33","1","5","5","6"
"27","1","3","4","5"
"35","2","1","6","7"
"33","1","5","4","7"
"25","2","5","4","5"
"21","2","3","4","6"
"28","1","5","6","6"
"40","2","2","3","6"
"42","1","5","3","7"
"30","1","5","6","5"
"33","2","3","7","3"
"36","1","3","3","6"
"32","1","5","5","8"
"28","2","5","5","7"
"29","2","2","5","8"
"38","1","5","6","4"
"31","1","5","5","6"
"27","1","5","4","5"
"34","2","2","6","8"
"44","1","5","5","5"
"60","2","5","8","5"
"26","1","5","4","6"
"32","1","3","5","5"
"29","1","5","4","6"
"26","2","5","5","5"
"51","1","5","2","7"
"25","1","2","2","8"
"27","1","5","5","5"
"36","2","2","4","5"
"25","2","5","4","6"
"36","1","5","2","8"
"22","2","5","4","7"
"57","2","5","4","5"
"28","1","5","5","4"
"40","2","5","5","6"
"39","1","5","5","6"
"57","1","5","2","6"
"28","2","5","6","3"
"24","2","5","4","9"
"23","1","5","4","7"
"39","2","5","4","7"
"44","1","5","3","6"
"29","1","3","6","5"
"31","2","5","4","6"
"40","2","1","5","5"
"44","2","5","4","7"
"31","2","1","4","5"
"29","1","5","4","8"
"23","2","5","4","7"
"27","2","3","6","3"
"32","1","3","6","5"
"30","1","5","5","7"
"52","2","5","4","8"
"28","2","5","4","5"
"28","1","2","3","7"
"39","2","5","6","6"
"19","1","5","4","6"
"26","2","3","5","5"
"42","2","5","2","10"
"58","2","5","2","6"
"22","1","5","4","7"
"47","2","6","5","6"
"31","2","5","6","3"
"40","1","5","5","9"
"26","1","1","5","8"
"40","2","1","5","5"
"40","2","5","4","6"
"30","2","5","4","6"
"35","1","1","2","8"
"33","1","5","4","5"
"25","1","2","4","8"
"23","1","5","2","8"
"33","2","5","5","7"
"27","1","5","5","7"
"36","1","5","4","5"
"30","1","5","4","7"
"28","2","5","4","7"
"25","2","5","4","6"
"52","1","","6","7"
"22","1","4","5","6"
"24","1","5","5","7"
"27","2","1","3","6"
"23","2","5","3","5"
"44","1","5","5","4"
"25","1","5","4","8"
"25","1","3","4","7"
"64","2","5","5","7"
"22","2","2","5","8"
"29","1","1","5","9"
"22","1","5","2","7"
"22","1","5","4","8"
"25","2","5","4","6"
"44","2","","3","10"
"36","1","3","5","6"
"37","2","5","2","6"
"26","1","5","4","8"
"26","1","5","5","9"
"28","2","1","2","7"
"32","1","3","","9"
"30","2","5","2","6"
"31","2","5","3","7"
"53","1","5","4","5"
"42","2","5","5","7"
"45","2","5","4","7"
"58","2","5","3","7"
"32","1","5","4","5"
"26","2","5","5","5"
"36","1","5","5","6"
"32","1","5","2","7"
"35","1","1","5","5"
"22","2","5","2","8"
"40","2","5","4","8"
"37","1","5","2","6"
"27","2","5","5","5"
"28","1","5","6","5"
"27","1","5","5","8"
"54","2","5","5","5"
"31","1","5","5","7"
"25","2","5","2","7"
"27","1","5","5","8"
"44","1","5","4","6"
"24","1","1","2","9"
"32","1","5","4","6"
"28","1","5","5","6"
"32","1","5","5","7"
"29","1","5","5","7"
"28","1","5","6","6"
"35","1","5","2","7"
"25","1","5","2","3"
"31","2","5","4","8"
"36","1","5","5","7"
"42","2","5","4","6"
"27","2","5","4","9"
"44","1","5","5","6"
"31","2","5","5","8"
"36","2","5","6","3"
"29","1","5","4","7"
"25","1","5","5","6"
"54","1","5","2","9"
"28","1","5","4","6"
"28","2","5","5","6"
"35","1","5","5","5"
"21","2","2","2","8"
"39","1","5","4","5"
"49","1","5","4","8"
"24","1","5","4","8"
"48","1","5","4","10"
"49","2","5","2","9"
"28","1","2","4","9"
"53","2","5","4","6"
"34","1","5","5","6"
"22","2","1","3","9"
"34","1","5","2","8"
"24","1","5","2","8"
"33","1","5","4","6"
"43","2","5","5","5"
"34","2","5","4","6"
"29","1","2","3","7"
"20","1","5","2","5"
"50","2","5","5","5"
