"subj","key","value","quest","vign","cond","norm","knowledge","outcome"
"R_3dEacrXEDPu37re","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1JOXv2iKeD2CTH6","MOR1.RKB","5","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_ddtrIMnLNIrCHbX","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_31SGa7E11qtYGmd","MOR1.RKB","8","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3fIXTvdzh8oxV1L","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1laYtVxtoX1Y33F","MOR1.RKB","4","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3012Nf3o7r10OSk","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3rJmHS6AcVh0mA5","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_YYKKu3bxNR3uiM9","MOR1.RKB","3","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2upNOfxuM42nqCu","MOR1.RKB","1","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1JCxB01GB5QpQd7","MOR1.RKB","4","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1jfW2S5n2k71h1f","MOR1.RKB","8","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2Vrym3e2jMG6h2B","MOR1.RKB","8","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2U9I3DclKD2Xixl","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1hZpo9MgTVK15uZ","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3NO47xvvycbvzBG","MOR1.RKB","1","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3lYPAV0pVf3w6cC","MOR1.RKB","5","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1dpjiMmu9NBeCCN","MOR1.RKB","8","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_Z3iaM83FxKdnKz7","MOR1.RKB","5","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3FJanM7CPcs2uDz","MOR1.RKB","3","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_25DUqlbL8SGqIxj","MOR1.RKB","4","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1lcmFF3SVmwpTCA","MOR1.RKB","3","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2RVrFXsvvbJz0Fb","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_24jAeOHgczY4IBn","MOR1.RKB","6","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2BhahPgfSz2lD66","MOR1.RKB","1","Morality","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3dEacrXEDPu37re","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1JOXv2iKeD2CTH6","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_ddtrIMnLNIrCHbX","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_31SGa7E11qtYGmd","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3fIXTvdzh8oxV1L","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1laYtVxtoX1Y33F","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3012Nf3o7r10OSk","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3rJmHS6AcVh0mA5","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_YYKKu3bxNR3uiM9","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2upNOfxuM42nqCu","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1JCxB01GB5QpQd7","RAT1.RKB","4","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1jfW2S5n2k71h1f","RAT1.RKB","2","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2Vrym3e2jMG6h2B","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2U9I3DclKD2Xixl","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1hZpo9MgTVK15uZ","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3NO47xvvycbvzBG","RAT1.RKB","1","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3lYPAV0pVf3w6cC","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1dpjiMmu9NBeCCN","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_Z3iaM83FxKdnKz7","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_3FJanM7CPcs2uDz","RAT1.RKB","5","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_25DUqlbL8SGqIxj","RAT1.RKB","4","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_1lcmFF3SVmwpTCA","RAT1.RKB","4","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2RVrFXsvvbJz0Fb","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_24jAeOHgczY4IBn","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_2BhahPgfSz2lD66","RAT1.RKB","6","Rationaliity","1","RKB","Rational","Knowledge","Bad Outcome"
"R_0vU5wieIFCrPRIZ","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_51rz3Nw8MT2Atfr","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3sslnUcV4zywwDd","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3kAQU2kSpWeSWAs","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_RWZqZe6IB87Zd1n","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3hsEcL8K61hnh9l","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1rPIB8J29JnErnm","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_0dIqsoLA4bhUxEJ","MOR1.RIB","2","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3j2911pazmJqBQY","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_PA6KpxrYWZ5Jo4N","MOR1.RIB","2","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3qHyb5ZjhcoXpSg","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3knNEnfwNgELtrq","MOR1.RIB","3","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3OoVv24Xf5rxDmf","MOR1.RIB","4","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1j81MYOOvUb72Zw","MOR1.RIB","2","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_ClWAQE2QWEXK665","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1eznzuf8TaZZj8v","MOR1.RIB","5","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1gGE1y5MAA9R7XL","MOR1.RIB","5","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2zB0f6P5WEMqAVs","MOR1.RIB","3","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_1Nb78sivVT7t6j4","MOR1.RIB","6","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3RflkQJbqZ9BSFA","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_12Eh3iGCcCjMa1a","MOR1.RIB","5","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_26bVztdvcmp8BFF","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2thE9cXB0Rrflqr","MOR1.RIB","1","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_w1yiYligPGlVtMR","MOR1.RIB","2","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_2uWJCBdJpAtMFUw","MOR1.RIB","6","Morality","1","RIB","Rational","Ignorance","Bad Outcome"
"R_0vU5wieIFCrPRIZ","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_51rz3Nw8MT2Atfr","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3sslnUcV4zywwDd","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
"R_3kAQU2kSpWeSWAs","RAT1.RIB","1","Rationaliity","1","RIB","Rational","Ignorance","Bad Outcome"
