id,age,gender,ethn,edu,ses
R_zThN7oLUGyBh05j,37,1,1,5,8
R_TnN90ewxdEWHzA5,29,2,5,3,6
R_2arw02fvwE0edbf,33,1,5,5,6
R_1dzwZ5p60NfCRbx,27,2,5,5,3
R_2YzbJ65NT9mHagv,34,1,5,2,3
R_1qeWyXjLjMoMy0s,41,1,5,5,2
R_1rAil9iM3uuajRO,31,1,5,5,8
R_YRfOZy6uUd9c7rr,24,1,5,5,5
R_2tMdGdjVe17nBDt,32,1,5,2,7
R_dmnAIEC7Ad9gAVD,26,1,4,5,5
R_1Q56a0BgSTqTkRd,37,2,5,2,8
R_31Y2IkuEiETOf8C,39,2,5,5,6
R_urh0bbQnYKqZC9j,30,2,5,5,5
R_29gZY78cWmLuSVa,29,1,5,6,4
R_1Igbakmew1f6LJu,31,1,5,4,9
R_1H74FkHSxEHhV1E,21,1,5,4,6
R_3DcHZv4Itf1OOYn,27,1,5,5,7
R_1hFLyxPsKfKTcS1,27,2,5,4,6
R_2dZtqvnBTBWdN3H,30,1,2,5,8
R_2ruRWfY1srJPt9Y,31,1,3,5,5
R_1JJuP7i7ZACFdby,32,2,1,4,8
R_0pnISAB21WFviCZ,23,2,5,5,7
R_2rjQ9EMQl6DNbyZ,31,2,5,4,4
R_1nO67HdszxSQ3kR,67,2,5,2,9
R_3mjx1vchBZ5ELOC,52,1,5,3,8
R_urC808lhWrMFmzD,33,1,5,5,6
R_3PELcJT287RTW0z,23,1,5,2,8
R_ufCDTRHutMvLVYJ,28,1,2,4,9
R_1jwbgefmcMf8RI2,33,1,5,5,8
R_3LXDud0GwTjSMR0,31,2,5,6,5
R_yTLvJWCZM8JSbzb,30,2,1,5,5
R_12QfCLXEQhxfWoU,27,1,5,4,8
R_2BgPCqjhDSDwebX,33,2,5,4,10
R_3JEGYEHdPBFUpIK,44,2,5,5,5
R_SPQmo11QfvavNoR,41,1,5,7,3
R_2zqek4kO2u6gWvR,30,1,1,6,4
R_3sn9fej8mQJvHPD,40,2,5,4,8
R_2R8JI0SydRmUCQ0,60,2,5,5,5
R_3R2AWOxC7hWjNqj,26,2,5,5,7
R_1EYTp4w46OyhCmo,30,1,5,5,8
R_25vDMx6HgnIRo3y,24,1,5,2,7
R_1fjejFI4WD8LEme,42,2,6,4,6
R_3fSDWmEJK0nBhYH,20,1,5,2,5
R_2CwR7eHcvokbNsI,38,2,5,5,4
R_25zuDzeoLn3448l,31,1,5,5,5
R_sNLCfzyhj0C6fDP,30,1,5,5,7
R_1LHyPswdsIaXhxR,28,2,5,5,8
R_sTfc3NCdOqjMUx3,22,2,3,4,7
R_Zre2wGPfMk35rod,27,1,5,5,5
R_297gdj5DMLYhOsh,22,1,5,4,7
R_3Db78Lm5ZIII1JV,29,1,5,2,8
R_2reUmYzDE3ma38B,30,2,5,5,4
R_2ckGyiW1LUA23e4,24,1,2,5,8
R_2ZIT9WWvOSJD4MX,40,2,5,4,8
R_3lRGuwnb28A0z8E,62,1,5,4,7
R_Zt97GexYmGMFelb,57,2,5,4,8
R_2wSnWZJfwAqLkQC,46,2,5,1,7
R_40i5GG4NcfPXmFj,25,2,5,5,9
R_3qrgt3uN1orLQ7U,25,1,5,2,4
R_1qUljBUmOGoYLQr,32,2,5,4,6
R_3gLBFQ7583G1ouc,51,2,5,5,5
R_2v2hw2cMU99VkDD,48,1,5,6,8
R_2SpGlzmszUawD2y,42,1,5,4,8
R_viBzEheQF4dRkS5,33,1,5,5,6
R_1E0zPfS61A1p93v,21,1,2,2,5
R_3CUihRFtoCs4CdW,24,2,2,4,6
R_1NgFcADe0NXXlW6,47,2,5,4,8
R_Tkh345DEf2RcOBz,39,1,5,5,5
R_291bcJyLj97PVxP,36,2,2,4,8
R_9pJfYokXD7NLclj,49,1,5,6,3
R_erIbE7gfkKmR9fj,42,2,5,5,8
R_3EvaxO5IfLPdamr,21,1,5,2,7
R_pKOvRWAGi36ho41,56,2,5,4,7
R_237awkhpgFaMb4e,26,2,5,2,6
R_1isv3Eyt5leZXz3,30,2,5,5,7
R_2wdAi2Br036nb0x,26,2,2,4,5
R_3MsrUAn2xGEkFJM,25,2,5,5,3
R_3Ej2u6SvghKqkgP,33,1,5,5,7
