"subj","condCode","response","question","condition","norm","knowledge","outcome","scenario"
"R_qwstNkmCZDncnex","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1imxL31aVxgcj3K","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3LXWtY8gOBIAeW7","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1N82MSTnLu1L5BS","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1GNPUifrgPBMutY","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3hfLXxFQCOFHDhd","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_2V4vMqxsKfCy981","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_30f2EmuXwbX8glU","modal01.RKB",3,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1r6rftvmunezmgH","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1Q4uEktj55KDhzb","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3PsLGup4vkughbJ","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_DtO9oubikR5IdAl","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1d6L5VGaQgiaKR2","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_31QvDFlole4FKf1","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3iQ2uFmgUVAMYhS","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_2DNTT8UC7LmQQ6g","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_2Bs2OJTQ9pd2DFU","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_8D3XIqs3yIUMlz3","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_20NbRXnF8gDaVxw","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_AdkC4SpPBDqEEa5","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3QKIU2vb5Bbxbzz","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_3IbGjoZ8ghvyRLM","modal01.RKB",3,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1FPSl5PEjkbySIN","modal01.RKB",2,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_1gGdR3WedEy1k7m","modal01.RKB",1,"Modal","RKB","Rational","Knowledge","Bad","01"
"R_qwstNkmCZDncnex","cfcon01.RKB",7,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1imxL31aVxgcj3K","cfcon01.RKB",7,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3LXWtY8gOBIAeW7","cfcon01.RKB",4,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1N82MSTnLu1L5BS","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1GNPUifrgPBMutY","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3hfLXxFQCOFHDhd","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_2V4vMqxsKfCy981","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_30f2EmuXwbX8glU","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1r6rftvmunezmgH","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1Q4uEktj55KDhzb","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3PsLGup4vkughbJ","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_DtO9oubikR5IdAl","cfcon01.RKB",2,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1d6L5VGaQgiaKR2","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_31QvDFlole4FKf1","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3iQ2uFmgUVAMYhS","cfcon01.RKB",2,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_2DNTT8UC7LmQQ6g","cfcon01.RKB",3,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_2Bs2OJTQ9pd2DFU","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_8D3XIqs3yIUMlz3","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_20NbRXnF8gDaVxw","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_AdkC4SpPBDqEEa5","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3QKIU2vb5Bbxbzz","cfcon01.RKB",4,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_3IbGjoZ8ghvyRLM","cfcon01.RKB",2,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1FPSl5PEjkbySIN","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_2zj86hFTqo01dmO","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_1gGdR3WedEy1k7m","cfcon01.RKB",1,"Counterfactual","RKB","Rational","Knowledge","Bad","01"
"R_cRYJlxKWMsxSXex","modal01.RIB",6,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_O1muBpwwMSdwLXX","modal01.RIB",7,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1pG5mBtKIxnqGnO","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2zdsiAOc8eopgE4","modal01.RIB",3,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1DTpKBP583HFVLL","modal01.RIB",7,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_W6elBmY4AViabeh","modal01.RIB",3,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1JD652cBs70EEKH","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2SJ5N5eWnwZU57B","modal01.RIB",4,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1mEPplXG1S1byZk","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_3JEhmuK87kLkPFL","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_21bI4ZZiA3PtlbD","modal01.RIB",7,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_SIAQASYqIuxVDxL","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2uwxgqTXiofdep5","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_r9B1eOLRtjW35Xb","modal01.RIB",6,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_3hmfrCT3qgMGaw2","modal01.RIB",2,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_12uqGUOWaJ4H6y2","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_esNTPe1gGUGLn1P","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_3lVVu8jKcFBYfct","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_rpfI4aHaCJx46Tn","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2AEvrCWHyDaqQGW","modal01.RIB",3,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2QRK0cLaIiK4FuW","modal01.RIB",2,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_vrbxBSNlMdLfVcJ","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_2VvC2xLg94Bhj4w","modal01.RIB",6,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_AoNTi0LvJ8JhHHP","modal01.RIB",3,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_1IMcijtD842i3aC","modal01.RIB",1,"Modal","RIB","Rational","Ignorance","Bad","01"
"R_cRYJlxKWMsxSXex","cfcon01.RIB",5,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_O1muBpwwMSdwLXX","cfcon01.RIB",4,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1pG5mBtKIxnqGnO","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2zdsiAOc8eopgE4","cfcon01.RIB",6,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1DTpKBP583HFVLL","cfcon01.RIB",6,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_W6elBmY4AViabeh","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1JD652cBs70EEKH","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2SJ5N5eWnwZU57B","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1mEPplXG1S1byZk","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_3JEhmuK87kLkPFL","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_21bI4ZZiA3PtlbD","cfcon01.RIB",3,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_SIAQASYqIuxVDxL","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2uwxgqTXiofdep5","cfcon01.RIB",4,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_r9B1eOLRtjW35Xb","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_3hmfrCT3qgMGaw2","cfcon01.RIB",5,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_12uqGUOWaJ4H6y2","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_esNTPe1gGUGLn1P","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_3lVVu8jKcFBYfct","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_rpfI4aHaCJx46Tn","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2AEvrCWHyDaqQGW","cfcon01.RIB",2,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2QRK0cLaIiK4FuW","cfcon01.RIB",4,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_vrbxBSNlMdLfVcJ","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_2VvC2xLg94Bhj4w","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_AoNTi0LvJ8JhHHP","cfcon01.RIB",3,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_1IMcijtD842i3aC","cfcon01.RIB",1,"Counterfactual","RIB","Rational","Ignorance","Bad","01"
"R_31vgs7oEcAUUBCK","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_3smqMd6i0nnfVrs","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
"R_2fI36SyrV14lYrh","modal01.MKB",1,"Modal","MKB","Moral","Knowledge","Bad","01"
