"subj","distal","proximal","moral","time","vign","outcome","agent"
"R_0VBLJQwDyFP6AyU","6","7","6","82.724","Farmer","good","Knowledge"
"R_cJ7QfdmLnG3vrtW","6","7","6","39.188","Farmer","good","Knowledge"
"R_6Jaz5IjRSzBWIS0","3","7","3","28.578","Farmer","good","Knowledge"
"R_4MGQZQJZr7Kj6xC","5","7","5","105.551","Farmer","good","Knowledge"
"R_aXJBcOLDFEmPVis","4","6","4","41.599","Farmer","good","Knowledge"
"R_cvDOpx11yUn82ry","4","6","3","114.525","Farmer","good","Knowledge"
"R_0oEDjcLT7r6oDZ2","6","6","4","50.983","Farmer","good","Knowledge"
"R_4UfrksoA69pKVmI","7","7","7","23.351","Farmer","good","Knowledge"
"R_exQQfKAB4wE5ag4","5","5","4","3.82","Farmer","good","Knowledge"
"R_808tQE4JMkxbjbS","4","6","5","33.436","Farmer","good","Knowledge"
"R_daqOZQeZiwsgTbu","2","3","1","31.769","Farmer","good","Knowledge"
"R_5BAvIFb0wfZYV3S","1","7","1","134.733","Farmer","good","Knowledge"
"R_3jZbFxCRzfkcHsM","6","6","6","316.211","Farmer","good","Knowledge"
"R_5d7nMb72NaWRJGc","4","6","4","45.462","Farmer","good","Knowledge"
"R_cA9naY91BBeZhLC","7","7","7","47.141","Farmer","good","Knowledge"
"R_0VBLJQwDyFP6AyU","6","7","6","74.012","Russia","good","Knowledge"
"R_cJ7QfdmLnG3vrtW","1","6","1","65.159","Russia","good","Knowledge"
"R_6Jaz5IjRSzBWIS0","4","6","4","97.831","Russia","good","Knowledge"
"R_4MGQZQJZr7Kj6xC","5","7","5","65.647","Russia","good","Knowledge"
"R_aXJBcOLDFEmPVis","1","1","4","64.487","Russia","good","Knowledge"
"R_cvDOpx11yUn82ry","3","6","4","77.452","Russia","good","Knowledge"
"R_0oEDjcLT7r6oDZ2","5","6","4","53.451","Russia","good","Knowledge"
"R_4UfrksoA69pKVmI","7","7","7","34.3","Russia","good","Knowledge"
"R_exQQfKAB4wE5ag4","3","4","5","3.76","Russia","good","Knowledge"
"R_808tQE4JMkxbjbS","4","7","5","31.511","Russia","good","Knowledge"
"R_daqOZQeZiwsgTbu","3","4","4","21.982","Russia","good","Knowledge"
"R_5BAvIFb0wfZYV3S","1","7","1","34.088","Russia","good","Knowledge"
"R_3jZbFxCRzfkcHsM","6","6","6","115.592","Russia","good","Knowledge"
"R_5d7nMb72NaWRJGc","4","6","4","63.688","Russia","good","Knowledge"
"R_cA9naY91BBeZhLC","7","7","7","43.899","Russia","good","Knowledge"
"R_0VBLJQwDyFP6AyU","6","7","6","77.431","Construction","good","Knowledge"
"R_cJ7QfdmLnG3vrtW","6","6","4","66.195","Construction","good","Knowledge"
"R_6Jaz5IjRSzBWIS0","3","5","3","48.35","Construction","good","Knowledge"
"R_4MGQZQJZr7Kj6xC","3","6","3","56.318","Construction","good","Knowledge"
"R_aXJBcOLDFEmPVis","4","7","4","53.264","Construction","good","Knowledge"
"R_cvDOpx11yUn82ry","2","6","3","136.183","Construction","good","Knowledge"
"R_0oEDjcLT7r6oDZ2","5","5","4","84.165","Construction","good","Knowledge"
"R_4UfrksoA69pKVmI","7","7","6","44.383","Construction","good","Knowledge"
"R_exQQfKAB4wE5ag4","4","5","4","4.875","Construction","good","Knowledge"
"R_808tQE4JMkxbjbS","4","5","3","30.354","Construction","good","Knowledge"
"R_daqOZQeZiwsgTbu","2","5","4","73.45","Construction","good","Knowledge"
"R_5BAvIFb0wfZYV3S","1","7","2","47.923","Construction","good","Knowledge"
"R_3jZbFxCRzfkcHsM","6","6","6","53.777","Construction","good","Knowledge"
"R_5d7nMb72NaWRJGc","4","6","2","59.183","Construction","good","Knowledge"
"R_cA9naY91BBeZhLC","1","7","7","65.214","Construction","good","Knowledge"
"R_54m4UWbippdUPwE","2","7","2","42.267","Farmer","good","Ignorance"
"R_cSVgJ2WqhRmmHc0","5","7","5","37.432","Farmer","good","Ignorance"
"R_6sCIt4dmtgeGJmc","5","6","4","38.373","Farmer","good","Ignorance"
"R_9naVCIncqKjo2DW","6","6","5","19.535","Farmer","good","Ignorance"
"R_4Obu1zI3bO3JpvS","3","6","5","45.814","Farmer","good","Ignorance"
"R_9QTOCwAu4ZjhgeU","7","7","7","31.347","Farmer","good","Ignorance"
"R_eeuwMwKbGouUhak","5","7","3","41.686","Farmer","good","Ignorance"
"R_4GgUKChAlqB3M3O","5","7","5","43.258","Farmer","good","Ignorance"
"R_3luRFc6QHfX9KN6","4","7","3","73.003","Farmer","good","Ignorance"
"R_9FUTrGbHUtE5vda","1","7","1","41.063","Farmer","good","Ignorance"
"R_dgshYewSAGTBXVy","6","6","7","99.769","Farmer","good","Ignorance"
"R_eQJKp1nrcqB7G3G","7","7","7","2.96","Farmer","good","Ignorance"
"R_bkFGe0TE41rnNOI","2","5","3","40.213","Farmer","good","Ignorance"
"R_6gx6P2Kr8eEWhKc","6","6","6","85.35","Farmer","good","Ignorance"
"R_6lF0kWvelkL0kN6","6","7","6","42.006","Farmer","good","Ignorance"
"R_exJcyiFNdvAinB2","4","6","5","216.466","Farmer","good","Ignorance"
"R_cMHxvvJGc6D205e","3","6","6","44.396","Farmer","good","Ignorance"
"R_bjh2CPblnyOZLgg","7","7","4","91.989","Farmer","good","Ignorance"
"R_02OhTT3H6c1rSdK","4","6","4","62.607","Farmer","good","Ignorance"
"R_8jKyoeyq4wnane4","5","5","6","53.672","Farmer","good","Ignorance"
"R_cuaVHga4Aeqos5u","4","6","3","45.422","Farmer","good","Ignorance"
"R_54m4UWbippdUPwE","5","7","4","37.568","Russia","good","Ignorance"
"R_cSVgJ2WqhRmmHc0","5","6","5","42.838","Russia","good","Ignorance"
"R_6sCIt4dmtgeGJmc","6","7","5","26.608","Russia","good","Ignorance"
"R_9naVCIncqKjo2DW","6","6","6","15.792","Russia","good","Ignorance"
"R_4Obu1zI3bO3JpvS","3","4","5","37.93","Russia","good","Ignorance"
"R_9QTOCwAu4ZjhgeU","4","4","4","46.076","Russia","good","Ignorance"
"R_eeuwMwKbGouUhak","5","6","5","43.74","Russia","good","Ignorance"
"R_4GgUKChAlqB3M3O","3","7","5","46.738","Russia","good","Ignorance"
"R_3luRFc6QHfX9KN6","4","7","3","78.724","Russia","good","Ignorance"
"R_9FUTrGbHUtE5vda","3","7","3","49.88","Russia","good","Ignorance"
"R_dgshYewSAGTBXVy","7","7","7","68.236","Russia","good","Ignorance"
"R_eQJKp1nrcqB7G3G","2","2","3","4.098","Russia","good","Ignorance"
"R_bkFGe0TE41rnNOI","3","5","3","129.796","Russia","good","Ignorance"
"R_6gx6P2Kr8eEWhKc","4","5","5","53.338","Russia","good","Ignorance"
"R_6lF0kWvelkL0kN6","6","7","6","30.145","Russia","good","Ignorance"
"R_exJcyiFNdvAinB2","5","6","5","143.895","Russia","good","Ignorance"
"R_cMHxvvJGc6D205e","4","5","5","67.957","Russia","good","Ignorance"
"R_bjh2CPblnyOZLgg","7","7","4","37.12","Russia","good","Ignorance"
"R_02OhTT3H6c1rSdK","4","6","4","63.934","Russia","good","Ignorance"
"R_8jKyoeyq4wnane4","5","5","5","28.253","Russia","good","Ignorance"
"R_cuaVHga4Aeqos5u","4","6","3","75.891","Russia","good","Ignorance"
"R_54m4UWbippdUPwE","3","7","3","56.918","Construction","good","Ignorance"
"R_cSVgJ2WqhRmmHc0","5","6","4","50.762","Construction","good","Ignorance"
"R_6sCIt4dmtgeGJmc","5","7","5","39.186","Construction","good","Ignorance"
"R_9naVCIncqKjo2DW","5","6","5","110.087","Construction","good","Ignorance"
"R_4Obu1zI3bO3JpvS","4","4","3","71.572","Construction","good","Ignorance"
"R_9QTOCwAu4ZjhgeU","4","6","1","44.595","Construction","good","Ignorance"
"R_eeuwMwKbGouUhak","3","6","2","49.713","Construction","good","Ignorance"
"R_4GgUKChAlqB3M3O","5","6","5","123.022","Construction","good","Ignorance"
"R_3luRFc6QHfX9KN6","4","7","3","46.272","Construction","good","Ignorance"
"R_9FUTrGbHUtE5vda","1","7","1","37.201","Construction","good","Ignorance"
"R_dgshYewSAGTBXVy","7","7","7","50.535","Construction","good","Ignorance"
"R_eQJKp1nrcqB7G3G","4","4","4","3.434","Construction","good","Ignorance"
"R_bkFGe0TE41rnNOI","3","4","4","76.576","Construction","good","Ignorance"
"R_6gx6P2Kr8eEWhKc","4","5","4","58.814","Construction","good","Ignorance"
"R_6lF0kWvelkL0kN6","5","6","5","54.692","Construction","good","Ignorance"
"R_exJcyiFNdvAinB2","4","5","5","89.279","Construction","good","Ignorance"
"R_cMHxvvJGc6D205e","2","2","4","46.209","Construction","good","Ignorance"
