"ResponseID","age","gender","ethn","edu","ses"
"R_3CZe3AEtB9bV3AN",26,2,5,4,5
"R_1Nlds3hiY5FZmUx",29,2,4,4,5
"R_27E7n2tVTr7wDHL",31,2,5,5,6
"R_4NJ8rgoHJ9OkqIx",50,2,5,5,3
"R_TchM1wAjGdaECZP",22,1,5,5,4
"R_5dM6Sj7WGUuvA9H",26,1,5,2,6
"R_2rhXD1EgNvUKiuS",27,2,3,6,8
"R_1DvFyZPkTpucgwH",43,1,5,4,8
"R_12x2Npb6Crb5BuC",27,1,1,6,2
"R_2ZCuTrxwLRzGPga",26,2,5,5,7
"R_2XnzPDZPnNL6UHO",23,1,5,4,9
"R_24j8Omx5ETOQhWB",26,1,5,6,5
"R_1M59ioZqpAEfVNb",23,1,5,4,9
"R_5btZXPQrEG0VXNf",46,1,5,5,5
"R_xx3uwhXEMh6GyVb",41,2,5,6,3
"R_10vdzZGyH4tmZrH",27,2,5,2,9
"R_4PDZ6grVDTHiwX7",24,1,2,4,6
"R_1DLUnyweaPdQD0S",42,1,5,4,8
"R_d0Th6o87Nd5g19L",41,1,5,2,8
"R_ZxyrVnGue9r7mh3",23,1,5,2,8
"R_1JWvIENzym9lyPw",40,1,5,5,3
"R_1QFyv655Iu97Z6l",24,2,5,4,6
"R_2vl7zcJnCoLx75h",49,2,3,7,6
"R_1mhpfOFAn0tux7z",31,1,5,5,8
"R_eKijT4m8exmJhjr",38,2,5,5,3
"R_2f7qHPabd1UCRuP",28,1,5,5,9
"R_1Pbo2iKUQ6EubOi",23,1,5,5,6
"R_32Q2tdMXPuDvWtr",31,2,2,4,4
"R_2QlLvvvYTIkasBV",28,2,5,6,4
"R_1K27PtzBz7I1jPy",34,2,5,3,7
"R_32SdXPxERbjYjt3",23,1,3,5,4
"R_R3lwST1pU2YN5w5",36,2,2,6,8
"R_12zFO8yYh7OuNjz",26,1,5,4,8
"R_UxYyiIQWU4uOf17",25,2,5,4,8
"R_9KYy4w38tFjgCg9",21,1,5,2,5
"R_3NVCPnWcpKLXwKU",20,2,1,4,6
"R_1jldwC5LtncGlMw",32,2,6,4,6
"R_3Iz9k1mqhr2tAUp",27,2,2,2,6
"R_2wyllPcLJVhUXBD",24,1,5,3,7
"R_1Ov1KGWRJU7uAlz",20,1,3,4,9
"R_2zdSvLe0MoytbTW",36,1,5,4,9
"R_3mh1Sdm1NhSrYah",57,2,5,5,5
"R_cvva7D6a86soHmh",26,1,5,4,6
"R_2qw6LqdBHREKYLw",34,2,5,5,8
"R_2VkE4v9LPYOivYF",39,2,6,5,9
"R_ac3dW2tZctsoUPT",40,1,5,2,6
"R_22MunTBxOzGvZja",55,1,5,5,8
"R_2e3fyb8STH6nov6",29,1,5,4,7
"R_3I0E89uwSXVuGqY",30,1,5,2,8
"R_3IcaL4Kc6FQaeIj",32,2,5,6,6
"R_2QWo6FPNDe49ndU",35,1,1,4,8
"R_1dy6OSTtyqRv7Ok",25,2,5,5,7
"R_1qe8ladz46f9tIq",41,2,5,4,6
"R_115TWEKroDuAzms",29,2,5,5,6
"R_1MWX0fLgLFdFpyo",23,1,5,5,5
"R_2CK81AIWLI9J4UP",39,2,5,2,6
"R_2PzJ1xNAJKEyshE",26,2,1,4,7
"R_yIrA6YEKVzj0l3P",37,2,5,4,4
"R_3nPF6aMwAsnQtEh",27,2,5,5,5
"R_3P61tBUPPefkBfA",30,2,NA,NA,NA
"R_1rfbFviFBBHk4V3",27,1,3,5,7
"R_21t5FlGvKREk3dr",50,1,5,6,3
"R_3O03ypayUBLCdme",40,2,5,3,6
"R_2ZR24VdDwDyDoNP",29,2,5,7,7
"R_vdhW9TK0SXwv5S1",40,2,5,6,7
"R_2axe79QRuzCTcKi",27,1,3,4,7
"R_CdJ9JucSmTXrs1H",28,1,6,5,5
"R_8priY5cpBM5o1kB",25,2,5,5,8
"R_oYNv4g08X5qiYG5",55,1,5,5,3
"R_1GNTLfngWMhezoh",44,2,5,5,8
"R_2zHCa3k2gdjRPwW",28,1,5,4,8
"R_w6KpUwELqEbSkRH",29,1,2,4,NA
"R_1Fan1seWCrSFswc",25,2,5,5,7
"R_t03fu7h7olf4INj",38,1,5,4,9
"R_2D7dyGB6Nr3RO22",23,1,6,5,6
"R_3kdEZGWBXT76gmn",26,1,5,4,5
"R_1rkVHUEoJuGjVpY",22,1,5,4,8
"R_Y5C8m3Lp5b1Vm1j",33,1,3,5,7
"R_1ODAZSbOPbOm7IH",30,1,5,4,7
"R_2UbmRrmDuw6NwoH",34,1,5,4,5
"R_AG4tqi45ffwUq9r",26,1,5,2,9
"R_3F2qMy5ZZGSW60Y",37,1,5,2,8
"R_XyKDAJueGEGo93j",29,1,5,5,7
"R_3COZ4CdHw1gWNvX",46,1,5,5,9
"R_2YboYiC6ngohSZu",51,2,2,4,8
"R_2Y2OZihRiLP1u7r",36,1,3,4,8
"R_3EsCu2ePGDtYDUw",29,2,5,4,4
"R_28CZNsc7tVlWnTa",41,1,5,4,5
"R_W1oDVTu4xR3xGN3",26,1,1,5,2
"R_26aUzH8M3QEmJGh",29,1,5,2,8
"R_1IzS0eAGZISQ8OI",33,2,5,3,7
"R_3JrqaVCdHCzRjp2",30,1,5,5,6
"R_43dOD4wCn0MLDTr",37,1,5,5,6
"R_31mjejuXje3dM8O",32,2,1,6,5
"R_XBUjjbtyWiUq59v",47,1,1,3,6
"R_XpowbtBQuV2ElA5",28,1,5,5,6
"R_31iREDCObZfq367",27,2,5,5,7
"R_1mIdbpxay2i9plk",51,2,5,5,6
"R_26oiinjVfHx3Tj3",40,1,5,5,5
"R_31GdGn7m6hl19Bu",22,2,5,4,6
"R_4TosMDkYtswkgc9",31,1,5,5,7
"R_1rIapq2D0O1VKSF",49,2,5,5,6
"R_2s56ErwZz80bmdn",30,1,5,5,8
"R_1LwzxRbKjkoS9Qk",28,1,2,5,7
"R_3JFtb4M5WvjbyhW",28,2,5,5,6
"R_31judbjjS0tJJnO",29,1,2,4,8
"R_3CCoRDB4A1r6Jf0",34,1,5,4,6
"R_t0rLbvxwxSSZkt3",24,1,5,2,8
"R_3MmqQ5miOWFhDoA",62,2,5,2,9
"R_21Gl9FPbEaESNEh",51,2,5,2,7
"R_2402sLjyANzToHF",26,2,3,4,7
"R_pK3knb2X3PQ5vwt",34,2,5,4,4
"R_1Nn2xfYH6Lng2m8",23,1,5,4,6
"R_YXsxYzjeGOiMIUN",55,2,5,3,4
"R_1DGYmPorq3TvCQk",27,2,2,4,8
