"ResponseId","condCod","responses","question","norm","knowledge","outcome","scenario","condition"
"R_1KkatO9YkIOMCXZ","vale01.MKB","2","Valence","Morality","Knowledge","Bad",1,"MKB"
"R_1KkatO9YkIOMCXZ","norm01.MKB","5","Normality","Morality","Knowledge","Bad",1,"MKB"
"R_1KkatO9YkIOMCXZ","vale02.RKB","3","Valence","Rationality","Knowledge","Bad",2,"RKB"
"R_1KkatO9YkIOMCXZ","norm02.RKB","5","Normality","Rationality","Knowledge","Bad",2,"RKB"
"R_1KkatO9YkIOMCXZ","vale03.MIB","3","Valence","Morality","Ignorance","Bad",3,"MIB"
"R_1KkatO9YkIOMCXZ","norm03.MIB","6","Normality","Morality","Ignorance","Bad",3,"MIB"
"R_1KkatO9YkIOMCXZ","vale04.RKB","5","Valence","Rationality","Knowledge","Bad",4,"RKB"
"R_1KkatO9YkIOMCXZ","norm04.RKB","4","Normality","Rationality","Knowledge","Bad",4,"RKB"
"R_1KkatO9YkIOMCXZ","vale05.MKG","5","Valence","Morality","Knowledge","Good",5,"MKG"
"R_1KkatO9YkIOMCXZ","norm05.MKG","4","Normality","Morality","Knowledge","Good",5,"MKG"
"R_1KkatO9YkIOMCXZ","vale06.RKB","3","Valence","Rationality","Knowledge","Bad",6,"RKB"
"R_1KkatO9YkIOMCXZ","norm06.RKB","6","Normality","Rationality","Knowledge","Bad",6,"RKB"
"R_1KkatO9YkIOMCXZ","vale07.MKG","5","Valence","Morality","Knowledge","Good",7,"MKG"
"R_1KkatO9YkIOMCXZ","norm07.MKG","3","Normality","Morality","Knowledge","Good",7,"MKG"
"R_1KkatO9YkIOMCXZ","vale08.MIB","4","Valence","Morality","Ignorance","Bad",8,"MIB"
"R_1KkatO9YkIOMCXZ","norm08.MIB","3","Normality","Morality","Ignorance","Bad",8,"MIB"
"R_1KkatO9YkIOMCXZ","vale09.MIB","4","Valence","Morality","Ignorance","Bad",9,"MIB"
"R_1KkatO9YkIOMCXZ","norm09.MIB","3","Normality","Morality","Ignorance","Bad",9,"MIB"
"R_1KkatO9YkIOMCXZ","vale10.RKG","4","Valence","Rationality","Knowledge","Good",10,"RKG"
"R_1KkatO9YkIOMCXZ","norm10.RKG","2","Normality","Rationality","Knowledge","Good",10,"RKG"
"R_1KkatO9YkIOMCXZ","vale11.MKG","3","Valence","Morality","Knowledge","Good",11,"MKG"
"R_1KkatO9YkIOMCXZ","norm11.MKG","5","Normality","Morality","Knowledge","Good",11,"MKG"
"R_1KkatO9YkIOMCXZ","vale12.RIG","6","Valence","Rationality","Ignorance","Good",12,"RIG"
"R_1KkatO9YkIOMCXZ","norm12.RIG","4","Normality","Rationality","Ignorance","Good",12,"RIG"
"R_1KkatO9YkIOMCXZ","vale13.MKG","6","Valence","Morality","Knowledge","Good",13,"MKG"
"R_1KkatO9YkIOMCXZ","norm13.MKG","4","Normality","Morality","Knowledge","Good",13,"MKG"
"R_1KkatO9YkIOMCXZ","vale14.RIB","4","Valence","Rationality","Ignorance","Bad",14,"RIB"
"R_1KkatO9YkIOMCXZ","norm14.RIB","3","Normality","Rationality","Ignorance","Bad",14,"RIB"
"R_1KkatO9YkIOMCXZ","vale15.MKB","4","Valence","Morality","Knowledge","Bad",15,"MKB"
"R_1KkatO9YkIOMCXZ","norm15.MKB","5","Normality","Morality","Knowledge","Bad",15,"MKB"
"R_1KkatO9YkIOMCXZ","vale16.MKB","4","Valence","Morality","Knowledge","Bad",16,"MKB"
"R_1KkatO9YkIOMCXZ","norm16.MKB","3","Normality","Morality","Knowledge","Bad",NA,"MKB"
"R_1MPTbU4h7AUdxiQ","vale01.RIG","3","Valence","Rationality","Ignorance","Good",1,"RIG"
"R_1MPTbU4h7AUdxiQ","norm01.RIG","5","Normality","Rationality","Ignorance","Good",1,"RIG"
"R_1MPTbU4h7AUdxiQ","vale02.RIB","6","Valence","Rationality","Ignorance","Bad",2,"RIB"
"R_1MPTbU4h7AUdxiQ","norm02.RIB","4","Normality","Rationality","Ignorance","Bad",2,"RIB"
"R_1MPTbU4h7AUdxiQ","vale03.RIG","5","Valence","Rationality","Ignorance","Good",3,"RIG"
"R_1MPTbU4h7AUdxiQ","norm03.RIG","4","Normality","Rationality","Ignorance","Good",3,"RIG"
"R_1MPTbU4h7AUdxiQ","vale04.MIB","5","Valence","Morality","Ignorance","Bad",4,"MIB"
"R_1MPTbU4h7AUdxiQ","norm04.MIB","3","Normality","Morality","Ignorance","Bad",4,"MIB"
"R_1MPTbU4h7AUdxiQ","vale05.RIB","5","Valence","Rationality","Ignorance","Bad",5,"RIB"
"R_1MPTbU4h7AUdxiQ","norm05.RIB","5","Normality","Rationality","Ignorance","Bad",5,"RIB"
