"age","gender","ethn","edu","ses"
"20","1","5","4","4"
"27","1","2","5","3"
"22","1","2","4","1"
"26","1","2","6","1"
"29","2","4","4","4"
"26","1","5","4","7"
"29","1","2","5","8"
"25","2","5","4","6"
"23","1","5","5","7"
"29","2","","5","8"
"28","2","5","4","6"
"23","2","5","4","5"
"56","2","5","5","6"
"54","1","5","5","7"
"50","2","5","3","4"
"30","2","5","4","5"
"32","2","5","3","6"
"19","1","5","2","4"
"29","1","5","2","5"
"27","2","5","5","8"
"33","2","5","2","6"
"48","2","5","4","5"
"50","2","5","6","2"
"25","2","5","4","7"
"37","1","5","2","5"
"28","1","5","5","7"
"20","1","3","4","6"
"23","2","5","5","5"
"24","2","5","5","8"
"52","1","5","5","4"
"53","2","1","4","10"
"24","1","5","5","6"
"30","1","1","4","6"
"29","2","5","5","8"
"57","2","5","4","9"
"40","1","3","5","6"
"21","1","5","4","9"
"36","2","5","4","7"
"24","1","5","4","8"
"38","2","5","5","7"
"34","1","5","5","7"
"68","2","5","5","3"
"38","1","5","5","5"
"51","2","5","5","5"
"38","2","5","5","4"
"26","1","5","5","9"
"35","2","5","4","8"
"41","2","5","5","5"
"42","1","5","4","9"
"24","2","5","5","6"
"48","2","5","5","6"
"23","2","5","4","6"
"61","1","5","4","8"
"22","2","5","4","6"
"32","2","5","5","8"
"24","1","2","5","8"
"33","1","5","5","8"
"45","2","5","4","8"
"23","2","5","5","8"
"26","1","3","5","6"
"41","1","5","3","6"
"26","2","5","5","4"
"25","2","2","5","5"
"22","1","5","4","7"
"36","1","3","5","6"
"58","2","5","4","4"
"36","1","5","6","5"
"58","2","5","2","6"
"65","2","4","4","4"
"36","2","2","5","8"
"27","1","5","5","8"
"34","2","2","6","8"
"33","1","5","5","10"
"31","2","5","4","7"
"28","1","5","4","9"
"20","1","5","4","8"
"37","2","5","5","6"
" 64","2","5","5","7"
"33","1","5","5","9"
"37","1","5","2","6"
"25","2","3","4","8"
"39","1","5","5","6"
"43","1","5","5","6"
"64","1","5","2","7"
"59","2","5","3","5"
"19","1","2","4","6"
"34","1","5","5","6"
"61","1","5","7","5"
"30","1","5","3","7"
"46","2","5","5","7"
"74","1","5","4","6"
"26","1","5","5","4"
"31","1","5","2","10"
"43","1","5","8","8"
"33","2","5","4","6"
"39","1","5","3","7"
"58","2","5","4","5"
"36","1","5","3","7"
"35","1","5","4","5"
"24","1","3","4","4"
"28","1","3","3","5"
"26","1","3","5","10"
"24","1","5","5","5"
"37","1","5","5","7"
"35","2","5","4","7"
"35","1","3","5","6"
"36","2","5","6","7"
"29","1","1","5","6"
"21","1","5","4","7"
"33","1","5","4","7"
"55","2","2","3","5"
"52","2","3","5","6"
"35","2","3","6","4"
"30","2","1","6","4"
"25","2","5","5","6"
"33","2","3","5","2"
"50","2","2","3","6"
"39","1","5","5","7"
"29","1","2","5","7"
"32","1","5","6","4"
"33","1","5","5","7"
"50","1","3","4","8"
"54","2","5","4","7"
"34","1","5","8","4"
"51","2","5","4","8"
"53","2","5","2","8"
"33","2","3","5","2"
"33","1","5","2","9"
"28","1","4","5","6"
"31","1","5","4","3"
"40","2","5","4","7"
"41","2","5","4","8"
"47","2","1","5","6"
"34","2","1","4","7"
"28","1","3","5","5"
"34","1","5","6","8"
"42","1","5","6","5"
"30","1","5","6","7"
"29","2","5","4","8"
"21","2","3","4","5"
"30","2","5","4","7"
"31","1","1","5","6"
"33","1","5","4","7"
"43","1","5","2","9"
"32","2","5","4","6"
"24","1","5","5","6"
"33","1","5","5","8"
"22","1","5","5","9"
"28","1","5","6","4"
"28","1","5","4","7"
"38","2","3","5","8"
"22","1","2","4","7"
"37","2","6","8","7"
"28","1","5","6","5"
"58","1","5","2","4"
"37","2","6","5","4"
"28","1","2","3","7"
"25","1","3","5","8"
"30","1","5","5","6"
"23","1","5","5","7"
"26","1","5","6","6"
"37","1","5","6","4"
"34","2","5","5","6"
"27","1","5","4","10"
"39","1","5","4","5"
"23","1","3","5","6"
"29","1","3","6","5"
"23","1","5","2","7"
"23","2","5","4","7"
"38","1","5","2","8"
"37","1","5","6","5"
"26","1","5","2","8"
"32","2","5","2","9"
"45","2","1","4","9"
"29","1","5","2","5"
"27","1","5","5","7"
"25","1","5","4","8"
"36","1","5","2","5"
"40","1","5","6","6"
"37","2","5","4","7"
"54","2","5","4","7"
"24","1","3","5","6"
"33","2","5","3","6"
"42","2","5","5","6"
"27","1","5","5","5"
"49","1","5","4","8"
"46","2","5","2","7"
"34","2","3","5","9"
"37","2","5","5","8"
"45","2","5","4","6"
"48","1","5","6","8"
"44","2","3","4","7"
"33","2","3","6","5"
"25","2","5","5","6"
"42","2","5","4","6"
"36","1","5","4","5"
"29","1","5","5","5"
"31","1","5","5","5"
"34","2","5","5","7"
