"subj","condCode","response","norm","outcome","knowledge","scenario"
"R_2YzbJ65NT9mHagv","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_31Y2IkuEiETOf8C","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_1hFLyxPsKfKTcS1","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_1JJuP7i7ZACFdby","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_ufCDTRHutMvLVYJ","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_25vDMx6HgnIRo3y","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_sTfc3NCdOqjMUx3","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_1qUljBUmOGoYLQr","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_erIbE7gfkKmR9fj","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3MsrUAn2xGEkFJM","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3Ej2u6SvghKqkgP","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_1dmZuqwrIfB4Fqb","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_2usJKYN2fxmGaqr","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3fTcfMmuGswY4dz","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_3fldJZ2PizyODxX","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_D8guIEc06taGiEF","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_23d8E2wMMxSEzHE","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_8owwVaLumTS8iPj","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3kpDHCggGacuKmR","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_1EhPsVv4ttckcIz","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_UKKZXBCkHsL6wAp","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_6gUOzZ0mgs7Cf5v","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_1eEJStFdisOROjv","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_3j7OCKG1TXGVyzG","Q1.RKB","2","rationality","Bad","Knowledge",1
"R_1r6YGajmAYrZrcm","Q1.RKB","1","rationality","Bad","Knowledge",1
"R_2arw02fvwE0edbf","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1dzwZ5p60NfCRbx","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_1H74FkHSxEHhV1E","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_2rjQ9EMQl6DNbyZ","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_urC808lhWrMFmzD","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_2R8JI0SydRmUCQ0","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_Zt97GexYmGMFelb","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_2wSnWZJfwAqLkQC","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_2SpGlzmszUawD2y","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1E0zPfS61A1p93v","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_4ZP6AOr2gTGNbJ7","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_eIDGsOtzwTFr2ox","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_C2JjFzpEIeyXnPj","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_3Dd1dIpubB6TP2e","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_etyun6P1xxEsVK9","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_OBSlSrQ1Id9FADD","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1qerst5YIleBPLi","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_3fkl3wT610dOBrJ","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_2rwiUa7MJbiTWi5","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_12s5VWgPdrearCX","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_9QuuwMPT5qU2Dbr","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1dixcU1N1oMboCG","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_3rYv2fNPGChgnD4","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_1HcTQSsle1b5W9Z","Q1.RIB","1","rationality","Bad","Ignorance",1
"R_3nUYaOw2h71wunw","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_z0uRN61qIEUuR3P","Q1.RIB","2","rationality","Bad","Ignorance",1
"R_YRfOZy6uUd9c7rr","Q1.MKB","1","morality","Bad","Knowledge",1
"R_2dZtqvnBTBWdN3H","Q1.MKB","1","morality","Bad","Knowledge",1
"R_Zre2wGPfMk35rod","Q1.MKB","2","morality","Bad","Knowledge",1
"R_3gLBFQ7583G1ouc","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2v2hw2cMU99VkDD","Q1.MKB","2","morality","Bad","Knowledge",1
"R_viBzEheQF4dRkS5","Q1.MKB","1","morality","Bad","Knowledge",1
"R_pKOvRWAGi36ho41","Q1.MKB","2","morality","Bad","Knowledge",1
"R_1isv3Eyt5leZXz3","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2VO6tEjBWzxv1qT","Q1.MKB","2","morality","Bad","Knowledge",1
"R_XHvdAnwym6hCVMJ","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2Wv8WsI5IyNGn8s","Q1.MKB","1","morality","Bad","Knowledge",1
"R_1rJFYYnm1Llcp2n","Q1.MKB","1","morality","Bad","Knowledge",1
"R_3l8Uvxkomb3yHLD","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2S2duEBgZlNcO3q","Q1.MKB","1","morality","Bad","Knowledge",1
"R_1F32BFpAyAFvVro","Q1.MKB","2","morality","Bad","Knowledge",1
"R_3PSPuAjXOGLT0n7","Q1.MKB","1","morality","Bad","Knowledge",1
"R_2YgEHZER2KaSsJs","Q1.MKB","1","morality","Bad","Knowledge",1
"R_214WjB6MJaAGLKJ","Q1.MKB","1","morality","Bad","Knowledge",1
"R_3fkNpAQgLjHI1iL","Q1.MKB","2","morality","Bad","Knowledge",1
"R_1Q3Y3griXe3qHnc","Q1.MKB","2","morality","Bad","Knowledge",1
"R_2ZHMzvy2HuSkU0r","Q1.MKB","1","morality","Bad","Knowledge",1
"R_cAPmADXRHOXztSN","Q1.MKB","1","morality","Bad","Knowledge",1
"R_9HwOwrBwwMbajYt","Q1.MKB","1","morality","Bad","Knowledge",1
"R_1FxKPezsZbnBuFk","Q1.MKB","1","morality","Bad","Knowledge",1
"R_Pvs9Ob5kC8WRNkZ","Q1.MKB","1","morality","Bad","Knowledge",1
"R_1rAil9iM3uuajRO","Q1.MIB","2","morality","Bad","Ignorance",1
"R_1Igbakmew1f6LJu","Q1.MIB","1","morality","Bad","Ignorance",1
"R_3mjx1vchBZ5ELOC","Q1.MIB","2","morality","Bad","Ignorance",1
"R_12QfCLXEQhxfWoU","Q1.MIB","1","morality","Bad","Ignorance",1
"R_sNLCfzyhj0C6fDP","Q1.MIB","2","morality","Bad","Ignorance",1
"R_1LHyPswdsIaXhxR","Q1.MIB","2","morality","Bad","Ignorance",1
"R_297gdj5DMLYhOsh","Q1.MIB","2","morality","Bad","Ignorance",1
"R_3Db78Lm5ZIII1JV","Q1.MIB","2","morality","Bad","Ignorance",1
"R_3qrgt3uN1orLQ7U","Q1.MIB","1","morality","Bad","Ignorance",1
"R_Tkh345DEf2RcOBz","Q1.MIB","2","morality","Bad","Ignorance",1
"R_24FLYlYvRP1AiOM","Q1.MIB","2","morality","Bad","Ignorance",1
"R_2U4L3NLbOTnuxxB","Q1.MIB","1","morality","Bad","Ignorance",1
"R_3fjXJiVog897OTE","Q1.MIB","2","morality","Bad","Ignorance",1
"R_6zD9vdwQaQVvfM1","Q1.MIB","2","morality","Bad","Ignorance",1
"R_3Hiy3lnGOyNOIQK","Q1.MIB","2","morality","Bad","Ignorance",1
"R_26hgMm9B09Xe7Wk","Q1.MIB","2","morality","Bad","Ignorance",1
"R_3JL7cqJFJtMQMZM","Q1.MIB","1","morality","Bad","Ignorance",1
"R_exMaNqVuVMuKyxr","Q1.MIB","1","morality","Bad","Ignorance",1
"R_2QPuvmtMknIENPl","Q1.MIB","2","morality","Bad","Ignorance",1
"R_cGFhb2noJ7lS94R","Q1.MIB","2","morality","Bad","Ignorance",1
"R_1N35cRRGR4E3uLI","Q1.MIB","2","morality","Bad","Ignorance",1
"R_1FVmEUPZ3Mf74Gt","Q1.MIB","1","morality","Bad","Ignorance",1
"R_2OI8rHDtYUfbZAM","Q1.MIB","2","morality","Bad","Ignorance",1
"R_2WPufpDRY0mEsNf","Q1.MIB","2","morality","Bad","Ignorance",1
"R_aXdVb1OyOWNelcR","Q1.MIB","1","morality","Bad","Ignorance",1
"R_29gZY78cWmLuSVa","Q1.RKG","1","rationality","Good","Knowledge",1
"R_1jwbgefmcMf8RI2","Q1.RKG","1","rationality","Good","Knowledge",1
"R_3LXDud0GwTjSMR0","Q1.RKG","1","rationality","Good","Knowledge",1
"R_yTLvJWCZM8JSbzb","Q1.RKG","1","rationality","Good","Knowledge",1
"R_3JEGYEHdPBFUpIK","Q1.RKG","1","rationality","Good","Knowledge",1
"R_SPQmo11QfvavNoR","Q1.RKG","2","rationality","Good","Knowledge",1
"R_2zqek4kO2u6gWvR","Q1.RKG","1","rationality","Good","Knowledge",1
"R_2ZIT9WWvOSJD4MX","Q1.RKG","1","rationality","Good","Knowledge",1
"R_1NgFcADe0NXXlW6","Q1.RKG","1","rationality","Good","Knowledge",1
"R_9pJfYokXD7NLclj","Q1.RKG","2","rationality","Good","Knowledge",1
"R_3EvaxO5IfLPdamr","Q1.RKG","1","rationality","Good","Knowledge",1
"R_DCDcKKNtVabs0gx","Q1.RKG","2","rationality","Good","Knowledge",1
"R_yHGcsELkjw1rNn3","Q1.RKG","2","rationality","Good","Knowledge",1
"R_1M65CVtuebXn6KR","Q1.RKG","1","rationality","Good","Knowledge",1
"R_BLfHJ8b0SWYJPsB","Q1.RKG","2","rationality","Good","Knowledge",1
"R_BMt6NhCDEuBcRs5","Q1.RKG","1","rationality","Good","Knowledge",1
"R_2VL6GKOrGVSHBg4","Q1.RKG","1","rationality","Good","Knowledge",1
"R_2ON2AB8H3OpSKm8","Q1.RKG","1","rationality","Good","Knowledge",1
"R_AAKD1XRCjIozCxj","Q1.RKG","2","rationality","Good","Knowledge",1
"R_2qra0hlauy54r9I","Q1.RKG","2","rationality","Good","Knowledge",1
"R_3KrrhQHv5txRxqF","Q1.RKG","1","rationality","Good","Knowledge",1
"R_3gMEpLBVaR2xDe1","Q1.RKG","2","rationality","Good","Knowledge",1
"R_WkQH6Sb65YbogTf","Q1.RKG","1","rationality","Good","Knowledge",1
"R_6xOgjjY4VZFZes9","Q1.RKG","1","rationality","Good","Knowledge",1
