"subj","question","condition","response","vign","knowledge","outcome","norm"
"R_3dEacrXEDPu37re","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_1JOXv2iKeD2CTH6","moral","RKB",5,1,"Knowledge","Bad Outcome","Rationality"
"R_ddtrIMnLNIrCHbX","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_31SGa7E11qtYGmd","moral","RKB",8,1,"Knowledge","Bad Outcome","Rationality"
"R_3fIXTvdzh8oxV1L","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_1laYtVxtoX1Y33F","moral","RKB",4,1,"Knowledge","Bad Outcome","Rationality"
"R_3012Nf3o7r10OSk","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_3rJmHS6AcVh0mA5","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_YYKKu3bxNR3uiM9","moral","RKB",3,1,"Knowledge","Bad Outcome","Rationality"
"R_2upNOfxuM42nqCu","moral","RKB",1,1,"Knowledge","Bad Outcome","Rationality"
"R_1JCxB01GB5QpQd7","moral","RKB",4,1,"Knowledge","Bad Outcome","Rationality"
"R_1jfW2S5n2k71h1f","moral","RKB",8,1,"Knowledge","Bad Outcome","Rationality"
"R_2Vrym3e2jMG6h2B","moral","RKB",8,1,"Knowledge","Bad Outcome","Rationality"
"R_2U9I3DclKD2Xixl","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_1hZpo9MgTVK15uZ","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_3NO47xvvycbvzBG","moral","RKB",1,1,"Knowledge","Bad Outcome","Rationality"
"R_3lYPAV0pVf3w6cC","moral","RKB",5,1,"Knowledge","Bad Outcome","Rationality"
"R_1dpjiMmu9NBeCCN","moral","RKB",8,1,"Knowledge","Bad Outcome","Rationality"
"R_Z3iaM83FxKdnKz7","moral","RKB",5,1,"Knowledge","Bad Outcome","Rationality"
"R_3FJanM7CPcs2uDz","moral","RKB",3,1,"Knowledge","Bad Outcome","Rationality"
"R_25DUqlbL8SGqIxj","moral","RKB",4,1,"Knowledge","Bad Outcome","Rationality"
"R_1lcmFF3SVmwpTCA","moral","RKB",3,1,"Knowledge","Bad Outcome","Rationality"
"R_2RVrFXsvvbJz0Fb","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_24jAeOHgczY4IBn","moral","RKB",6,1,"Knowledge","Bad Outcome","Rationality"
"R_2BhahPgfSz2lD66","moral","RKB",1,1,"Knowledge","Bad Outcome","Rationality"
"R_1GNckx8iR0MyB53","moral","RKB",6,2,"Knowledge","Bad Outcome","Rationality"
"R_0vU5wieIFCrPRIZ","moral","RKB",3,2,"Knowledge","Bad Outcome","Rationality"
"R_1gLyO0SlHXS3vKs","moral","RKB",2,2,"Knowledge","Bad Outcome","Rationality"
"R_3gYMp48vyvxcl3v","moral","RKB",2,2,"Knowledge","Bad Outcome","Rationality"
"R_3oMfMZATScx3dLo","moral","RKB",7,2,"Knowledge","Bad Outcome","Rationality"
"R_1hSz0Jm1UlkYLv3","moral","RKB",7,2,"Knowledge","Bad Outcome","Rationality"
"R_yNJqQLUiI0ZYfpn","moral","RKB",1,2,"Knowledge","Bad Outcome","Rationality"
"R_8oXnAAFcxaK83vz","moral","RKB",5,2,"Knowledge","Bad Outcome","Rationality"
"R_1jTIkuunUX6Tldu","moral","RKB",7,2,"Knowledge","Bad Outcome","Rationality"
"R_3hsEcL8K61hnh9l","moral","RKB",1,2,"Knowledge","Bad Outcome","Rationality"
"R_2dLOdsJqKhVH80Q","moral","RKB",7,2,"Knowledge","Bad Outcome","Rationality"
"R_PMuEbnPTxf87rYR","moral","RKB",7,2,"Knowledge","Bad Outcome","Rationality"
"R_1nUCbhkBuDSPQZb","moral","RKB",1,2,"Knowledge","Bad Outcome","Rationality"
"R_3j2911pazmJqBQY","moral","RKB",3,2,"Knowledge","Bad Outcome","Rationality"
"R_1qW17ExgKE43t1L","moral","RKB",3,2,"Knowledge","Bad Outcome","Rationality"
"R_1mpYMLn3bHMBNJ6","moral","RKB",7,2,"Knowledge","Bad Outcome","Rationality"
"R_3NO47xvvycbvzBG","moral","RKB",1,2,"Knowledge","Bad Outcome","Rationality"
"R_1eFPnIDqZ5wkA2i","moral","RKB",4,2,"Knowledge","Bad Outcome","Rationality"
"R_25MdM1HSJrETCFT","moral","RKB",2,2,"Knowledge","Bad Outcome","Rationality"
"R_5n0pcMbiqjK1h8B","moral","RKB",4,2,"Knowledge","Bad Outcome","Rationality"
"R_25DUqlbL8SGqIxj","moral","RKB",4,2,"Knowledge","Bad Outcome","Rationality"
"R_2TGl5rAxFg4Ja9n","moral","RKB",5,2,"Knowledge","Bad Outcome","Rationality"
"R_3NWoJHQmhRAQrD8","moral","RKB",4,2,"Knowledge","Bad Outcome","Rationality"
"R_3Ge8Mw7q22SmTYJ","moral","RKB",7,2,"Knowledge","Bad Outcome","Rationality"
"R_1GTFKbJ96SZThf1","moral","RKB",7,2,"Knowledge","Bad Outcome","Rationality"
"R_1gLyO0SlHXS3vKs","moral","RKB",3,3,"Knowledge","Bad Outcome","Rationality"
"R_3oMfMZATScx3dLo","moral","RKB",7,3,"Knowledge","Bad Outcome","Rationality"
"R_ddtrIMnLNIrCHbX","moral","RKB",7,3,"Knowledge","Bad Outcome","Rationality"
