"subj","condition","cause","vign","knowledge","outcome","norm"
"R_3kCm8jrQRAMR7k5","MIB",7,1,"Ignorance","Bad Outcome","Morality"
"R_sXamn1JkfIs4AIV","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_2TGf9huZmz4U0g9","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_2SGlBy7b05SaXmr","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_0VNNCVZCualoZmV","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_1gHDsO0nNiXRFFg","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_573ddSfN4F8ClSV","MIB",3,1,"Ignorance","Bad Outcome","Morality"
"R_pa7PJoJkMI2R1Xb","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_1nO57m94xGmCJ2B","MIB",6,1,"Ignorance","Bad Outcome","Morality"
"R_C78K8ShmVgH6Ekp","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_3dXLUOIfVgHhCQP","MIB",7,1,"Ignorance","Bad Outcome","Morality"
"R_uadPIK4wYtfAl7r","MIB",4,1,"Ignorance","Bad Outcome","Morality"
"R_aXWWVtQ1sWX7ail","MIB",3,1,"Ignorance","Bad Outcome","Morality"
"R_ah0IF43LPgzk95D","MIB",3,1,"Ignorance","Bad Outcome","Morality"
"R_ymfgN6eeC2D56Qp","MIB",4,1,"Ignorance","Bad Outcome","Morality"
"R_1NyKhqJUXO4bp6s","MIB",6,1,"Ignorance","Bad Outcome","Morality"
"R_2cCUKmBdoTRW3F8","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_3OesKoqEYrnf0Sr","MIB",7,1,"Ignorance","Bad Outcome","Morality"
"R_1gdq5PPbWdh4hR2","MIB",2,1,"Ignorance","Bad Outcome","Morality"
"R_T0Bb72ebhwrqdTH","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_0fDcI1J6tmbWSNX","MIB",6,1,"Ignorance","Bad Outcome","Morality"
"R_2qjuUL2StXvHGf5","MIB",3,1,"Ignorance","Bad Outcome","Morality"
"R_3OiR0Od33MuZNhg","MIB",3,1,"Ignorance","Bad Outcome","Morality"
"R_1Nh6HlaxDGH7Qiz","MIB",5,1,"Ignorance","Bad Outcome","Morality"
"R_1rdoxOtIpMbE14a","MIB",4,1,"Ignorance","Bad Outcome","Morality"
"R_r7q1XXPTW8nQxFf","MIB",1,1,"Ignorance","Bad Outcome","Morality"
"R_3CQrBEtZ5lQIpcw","MIB",3,1,"Ignorance","Bad Outcome","Morality"
"R_1FfHAYQzuH8l6rT","MIB",3,1,"Ignorance","Bad Outcome","Morality"
"R_2uWnFWiclkxHsdR","MIB",2,10,"Ignorance","Bad Outcome","Morality"
"R_rfDOr9YwrCWSGnD","MIB",4,10,"Ignorance","Bad Outcome","Morality"
"R_2TGf9huZmz4U0g9","MIB",5,10,"Ignorance","Bad Outcome","Morality"
"R_2TZusYTZNboEc5A","MIB",1,10,"Ignorance","Bad Outcome","Morality"
"R_2QhMoGlC9lopDQi","MIB",1,10,"Ignorance","Bad Outcome","Morality"
"R_2a9cjKqSNhYEDUJ","MIB",1,10,"Ignorance","Bad Outcome","Morality"
"R_2BmTk2b9tDRS4j0","MIB",3,10,"Ignorance","Bad Outcome","Morality"
"R_ah0IF43LPgzk95D","MIB",7,10,"Ignorance","Bad Outcome","Morality"
"R_2eUQEMUMLilr9Ek","MIB",1,10,"Ignorance","Bad Outcome","Morality"
"R_3plgGlDMYATjG6G","MIB",2,10,"Ignorance","Bad Outcome","Morality"
"R_sRQRy3ihu2Us2AN","MIB",3,10,"Ignorance","Bad Outcome","Morality"
"R_3oYrx7IsI9AizOA","MIB",5,10,"Ignorance","Bad Outcome","Morality"
"R_2ScebHCzhakr6VH","MIB",6,10,"Ignorance","Bad Outcome","Morality"
"R_yQ2SypcIcQ3bz5T","MIB",5,10,"Ignorance","Bad Outcome","Morality"
"R_1FrXc9PHBSpw9oq","MIB",4,10,"Ignorance","Bad Outcome","Morality"
"R_2cCUKmBdoTRW3F8","MIB",1,10,"Ignorance","Bad Outcome","Morality"
"R_yxzOHsuSvGtkZnr","MIB",3,10,"Ignorance","Bad Outcome","Morality"
"R_2zjVqumrDknmrfN","MIB",5,10,"Ignorance","Bad Outcome","Morality"
"R_123Y1lNiyTGvkuR","MIB",6,10,"Ignorance","Bad Outcome","Morality"
"R_3hcDhtRRJvUxHMi","MIB",7,10,"Ignorance","Bad Outcome","Morality"
"R_12m6aDTcCvk9NXg","MIB",3,10,"Ignorance","Bad Outcome","Morality"
"R_3gV8b7Tp51omQcF","MIB",2,10,"Ignorance","Bad Outcome","Morality"
"R_6QjEqNKOSz3crZL","MIB",4,10,"Ignorance","Bad Outcome","Morality"
"R_3im54uYdtSp6K75","MIB",1,10,"Ignorance","Bad Outcome","Morality"
"R_3MsvDjJ00ZYLBt9","MIB",3,10,"Ignorance","Bad Outcome","Morality"
"R_24vLPNyi9ZP5BYI","MIB",2,10,"Ignorance","Bad Outcome","Morality"
"R_bIcyzXOO7YOhjhf","MIB",2,10,"Ignorance","Bad Outcome","Morality"
"R_2xDAijuFkMHPdoi","MIB",5,10,"Ignorance","Bad Outcome","Morality"
"R_8tR9nf8utuGhHJD","MIB",4,11,"Ignorance","Bad Outcome","Morality"
"R_3mmD4DwZ5jzjlKd","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_1otElFglT4OlsWj","MIB",5,11,"Ignorance","Bad Outcome","Morality"
"R_2tsr3IMZZZmu8j7","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_31G8XueDJF9CjL8","MIB",5,11,"Ignorance","Bad Outcome","Morality"
"R_1FRKZlXVbMODAJ0","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_2B3e8M5TDAmowSS","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_29mlIvWykbwXCnM","MIB",5,11,"Ignorance","Bad Outcome","Morality"
"R_1NgKUH4AHEmZYzc","MIB",7,11,"Ignorance","Bad Outcome","Morality"
"R_ymfgN6eeC2D56Qp","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_1luAilgwoFkZNmA","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_2v7aWFNvkA7EDQ8","MIB",5,11,"Ignorance","Bad Outcome","Morality"
"R_3lXHlADFJldn0oG","MIB",7,11,"Ignorance","Bad Outcome","Morality"
"R_2zT3UUy5D33yoS9","MIB",7,11,"Ignorance","Bad Outcome","Morality"
"R_3EAAd5eCI3Wdlp1","MIB",1,11,"Ignorance","Bad Outcome","Morality"
"R_suH1bjbj1tHQ2S5","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_Xt9CeQyvKvYkvDz","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_3hcDhtRRJvUxHMi","MIB",5,11,"Ignorance","Bad Outcome","Morality"
"R_2qgY8D5Mcep6LSB","MIB",1,11,"Ignorance","Bad Outcome","Morality"
"R_2wigNvn0TIaPKpA","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_yKKVqms1o43RESl","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_3im54uYdtSp6K75","MIB",1,11,"Ignorance","Bad Outcome","Morality"
"R_1Q64uNkQT3c3SGT","MIB",4,11,"Ignorance","Bad Outcome","Morality"
"R_3Hwx2ra4pPW9tvd","MIB",4,11,"Ignorance","Bad Outcome","Morality"
"R_1lzMCnWGOUieQV1","MIB",4,11,"Ignorance","Bad Outcome","Morality"
"R_bIcyzXOO7YOhjhf","MIB",6,11,"Ignorance","Bad Outcome","Morality"
"R_1N8HoWlcRZIXsjJ","MIB",5,12,"Ignorance","Bad Outcome","Morality"
"R_2uWnFWiclkxHsdR","MIB",4,12,"Ignorance","Bad Outcome","Morality"
"R_1nOp86S07OpINY5","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_2TGf9huZmz4U0g9","MIB",5,12,"Ignorance","Bad Outcome","Morality"
"R_6f1F85QWuN84dqh","MIB",2,12,"Ignorance","Bad Outcome","Morality"
"R_2TZusYTZNboEc5A","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_wLT7EY2Znf0bqoh","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_xz1atBjzqASxMQx","MIB",6,12,"Ignorance","Bad Outcome","Morality"
"R_1FRKZlXVbMODAJ0","MIB",5,12,"Ignorance","Bad Outcome","Morality"
"R_uadPIK4wYtfAl7r","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_3lqC30GxdeQftW9","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_1QYrsywNCa55XuV","MIB",4,12,"Ignorance","Bad Outcome","Morality"
"R_vGJkmYoK5YX3GGB","MIB",4,12,"Ignorance","Bad Outcome","Morality"
"R_125tTIS0YdXyT0k","MIB",6,12,"Ignorance","Bad Outcome","Morality"
"R_1NyKhqJUXO4bp6s","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_1FrXc9PHBSpw9oq","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_dasRi2FWsgVJdZL","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_Xt9CeQyvKvYkvDz","MIB",3,12,"Ignorance","Bad Outcome","Morality"
"R_3hcDhtRRJvUxHMi","MIB",5,12,"Ignorance","Bad Outcome","Morality"
"R_2qgY8D5Mcep6LSB","MIB",6,12,"Ignorance","Bad Outcome","Morality"
"R_3D7m5svTQZjuPX5","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_r6bVJxiBs4nFcB3","MIB",6,12,"Ignorance","Bad Outcome","Morality"
"R_2bUzt3glVBmuTKT","MIB",6,12,"Ignorance","Bad Outcome","Morality"
"R_2uEBUl8vW42ckPv","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_33dwpKJwhyNnADX","MIB",5,12,"Ignorance","Bad Outcome","Morality"
"R_2Xhdc4njFbGcgew","MIB",7,12,"Ignorance","Bad Outcome","Morality"
"R_1N8HoWlcRZIXsjJ","MIB",5,13,"Ignorance","Bad Outcome","Morality"
"R_3mmD4DwZ5jzjlKd","MIB",6,13,"Ignorance","Bad Outcome","Morality"
"R_2TGf9huZmz4U0g9","MIB",6,13,"Ignorance","Bad Outcome","Morality"
"R_Ab2xg2MwPtJ2uNr","MIB",3,13,"Ignorance","Bad Outcome","Morality"
"R_3MmM3XBJgTiSVic","MIB",6,13,"Ignorance","Bad Outcome","Morality"
"R_573ddSfN4F8ClSV","MIB",5,13,"Ignorance","Bad Outcome","Morality"
"R_1duVPQxVjrpg2Hr","MIB",7,13,"Ignorance","Bad Outcome","Morality"
"R_2380mvcuqN1cRUh","MIB",6,13,"Ignorance","Bad Outcome","Morality"
"R_u3mZgdE5EmlnFyp","MIB",7,13,"Ignorance","Bad Outcome","Morality"
"R_2BmTk2b9tDRS4j0","MIB",3,13,"Ignorance","Bad Outcome","Morality"
