"subj","condCode","response","norm","outcome","knowledge","scenario"
"R_3ix9OZp19n7z3ji","caus1.RKB",4,"rationality","Abnormal","Knowledge",1
"R_ploi37XR9kuXVSh","caus1.RKB",3,"rationality","Abnormal","Knowledge",1
"R_86QidGGfYLmbKwN","caus1.RKB",6,"rationality","Abnormal","Knowledge",1
"R_2e3YYxDNFxGdOp8","caus1.RKB",3,"rationality","Abnormal","Knowledge",1
"R_868ONwCNBhJxdvP","caus1.RKB",5,"rationality","Abnormal","Knowledge",1
"R_1hYb71KLb5Gred1","caus1.RKB",7,"rationality","Abnormal","Knowledge",1
"R_239viXo01LDQFab","caus1.RKB",6,"rationality","Abnormal","Knowledge",1
"R_12o8dePtLHKo7h9","caus1.RKB",3,"rationality","Abnormal","Knowledge",1
"R_yKmLYIVRstIh84x","caus1.RKB",4,"rationality","Abnormal","Knowledge",1
"R_ymRkH2LObwZue1X","caus1.RKB",5,"rationality","Abnormal","Knowledge",1
"R_3j8mcSiHC7NaIjx","caus1.RKB",6,"rationality","Abnormal","Knowledge",1
"R_1Eg5vqiVrvsPFpO","caus1.RKB",7,"rationality","Abnormal","Knowledge",1
"R_1pol0eGkwiW2RSY","caus1.RKB",6,"rationality","Abnormal","Knowledge",1
"R_2SqwWyOBTK9ReoK","caus1.RKB",3,"rationality","Abnormal","Knowledge",1
"R_11bFqHsy4lHKXGM","caus1.RKB",1,"rationality","Abnormal","Knowledge",1
"R_27m9oWuJmjPxtoe","caus1.RKB",4,"rationality","Abnormal","Knowledge",1
"R_3nVhIQzHW7xv81F","caus1.RKB",1,"rationality","Abnormal","Knowledge",1
"R_22qSb38GWlOy4En","caus1.RKB",2,"rationality","Abnormal","Knowledge",1
"R_s5sQsHKCU2q6c81","caus1.RKB",7,"rationality","Abnormal","Knowledge",1
"R_2TufLtuxux2LugW","caus1.RKB",4,"rationality","Abnormal","Knowledge",1
"R_1GHVUhO0bOZkoep","caus1.RKB",6,"rationality","Abnormal","Knowledge",1
"R_2WAmIqwDiM70gZf","caus1.RKB",7,"rationality","Abnormal","Knowledge",1
"R_sIi8srHnEndCnjr","caus1.RKB",3,"rationality","Abnormal","Knowledge",1
